api-sdk       |New Cline API docs: Getting Started, Auth, Chat Completions, Models, Errors, and SDK Examples
shell-tools   |feat(web-shell): expose session controls to hosts (#6906) by @dreamWB
shell-tools   |Added a tab switcher, which is accessible via ctrl-tab and ctrl-shift-tab (#7321, #7653). The tab switcher works in both the main workspace area and i
shell-tools   |#9150 feat: add sourcing of rc files to shell snapshot @jif-oai
shell-tools   |fix: added 'head' to allowlisted commands in shell tool (7cc752f)
shell-tools   |Fixed RpcClient to reject pending requests and consume stdin pipe errors when the child process exits unexpectedly (#4764).
shell-tools   |fix(web-shell): make tool summaries consistently collapsible
shell-tools   |feat(web-shell): allow host to override streaming loading phrases
skills-plugins|Model lists for providers sharing the built-in catalog now refresh from the live catalog, so newly published models appear without an extension update
skills-plugins|Plugins/PDF: move local PDF extraction into a bundled document-extract plugin so core no longer owns pdfjs-dist or PDF image-rendering dependencies. T
skills-plugins|Manually created due to a GitHub API outage — the automated workflow published v4.0.9 to the VS Code Marketplace and Open VSX Registry successfully, b
skills-plugins|plugin ClawHub publish: https://github.com/openclaw/openclaw/actions/runs/26557068673 published all workflow candidates except @openclaw/pixverse-prov
skills-plugins|Changed ModelRuntime to compose built-in providers, immutable models.json configuration, and extension overlays through ad-hoc pi-ai provider methods.
skills-plugins|Log the name of the telemetry provider(s) enabled in the extension
skills-plugins|PreToolUse hooks receive a tool_provenance object identifying the skill or MCP server behind the call, and the config file or plugin that declared it.
skills-plugins|Channels/WeCom: refresh the official onboarding install to @wecom/wecom-openclaw-plugin@2026.5.7 and update existing managed npm installs instead of f
skills-plugins|Fixed failed extension factories leaving event subscriptions, provider registrations, and default flag state active (#8424 by @acmerfight).
skills-plugins|feat: add symlink support for AGENTS.md file loading (thanks @app/roomote!)
skills-plugins|#25060 Add goal extension idle continuation @jif-oai
skills-plugins|update(telemetry): add hashed_extension_name to field to extension events
skills-plugins|PR #90326 fix(fireworks): resolve catalog model params from plugin.json via core. Thanks @obuchowski.
skills-plugins|feat(plugin): add DigitalOcean OAuth + Inference Routers
skills-plugins|Documentation: Added skills system documentation to README (setup, usage, CLI flags, settings)
ui-ux         |Multi-expert collaboration stuck: Fixed an issue in multi-member collaboration scenarios where the lead could get stuck on "thinking" with no output w
ui-ux         |Added the command_palette.use_command_history setting to disable history-based command palette ranking without erasing history.
ui-ux         |Hook activity in the TUI is easier to scan, with live running hooks shown separately and completed hook output kept only when useful
ui-ux         |Custom tools: Extend pi with custom tools written in TypeScript. Tools can provide custom TUI rendering, interact with users via pi.ui (select, confir
ui-ux         |Added support for using the insert button to activate vim mode (#19245; thanks axelcarl).
ui-ux         |#39154 Box the TUI future to bound CLI stack usage @copyberry
ui-ux         |Matrix/partial streaming: add MSC4357 live markers to draft preview sends and edits so supporting Matrix clients can render a live/typewriter animatio
ui-ux         |Compacted sessions show a collapsible summary in the TUI (toggle with o key)
ui-ux         |Agent Beta: Added assistant panel width persistence.
ui-ux         |Complete Web UI streaming text: Repeated consecutive fragments in model output, such as 1000, are no longer dropped and rendered as 100.
ui-ux         |Introduces new editor tooltip
ui-ux         |Adjustable code panel: Customize your workspace by adjusting the width of the code panel to your preferred viewing experience.
ui-ux         |fix(tui): slash command autocomplete highlighted row jumping
ui-ux         |Added a structured error code for closing sessions to ensure reliable retry handling in the Web UI and Java clients. (#8884) by @yiliang114
ui-ux         |Project Panel: Revamped how project panel entries are refreshed, which should lead to a significantly smoother experience when working in large projec
