idx	score	cluster	src	verdict	detail	pass
734	12	git-pr-ci	s12	boundary	Enterprise API v3 bulk create	manual
735	12	git-pr-ci	s12	boundary	commit history diff split toggle	manual
736	12	git-pr-ci	s12	dup	repo-local .codex/config.toml+project_root_markers — config layering	manual
737	12	mcp-tools	s12	dup	W3C Trace Context+Baggage透传 — tracing	manual
738	12	mcp-tools	s12	dup	strip empty assistant/error blocks防corruption — session hygiene	manual
739	12	mcp-tools	s12	dup	MCP prompts进slash菜单 — mcp prompts已实装	manual
740	12	mcp-tools	s12	cand	remote-mcp: GitHub MCP OAuth device flow	manual
741	12	mcp-tools	s12	dup	stdio handshake被慢MCP阻塞修复 — mcp boot	manual
742	12	mcp-tools	s12	variant	SDK mcpServers文件路径格式	manual
743	12	mcp-tools	s12	variant	MCP调用透传model ID头	manual
744	12	mcp-tools	s12	boundary	AgentSession OAuth/model config exports	manual
745	12	mcp-tools	s12	dup	空Ollama turn在model boundary重试 — empty-turn retry	manual
746	12	mcp-tools	s12	dup	prewarm project MCP加载失败修复 — mcp boot	manual
747	12	mcp-tools	s12	boundary	Models页重设计(Connected/Popular/All)	manual
748	12	mcp-tools	s12	dup	非交互模式等MCP server启动慢 — boot ordering	manual
749	12	mcp-tools	s12	boundary	Vercel provider+MCP UX	manual
750	12	mcp-tools	s12	dup	tool call id/name跨chunk拆分修复 — stream parsing	manual
751	12	mcp-tools	s12	dup	xAI OAuth复用web_search+model aliases — auth profile	manual
752	12	memory-context	s12	variant	# shortcut存memory到CODEBUDDY.md	manual
753	12	memory-context	s12	cand	session-picker: /resume threaded按fork关系树形排序	manual
754	12	memory-context	s12	dup	blob-store外置大tool outputs — outspool已实装	manual
755	12	memory-context	s12	dup	compaction.model统一解析 — compaction config	manual
756	12	memory-context	s12	dup	compaction.recentTurnsPreserve+quality-guard knobs — compaction knobs	manual
757	12	memory-context	s12	dup	resume后context usage查询修复 — context query	manual
758	12	memory-context	s12	dup	request markers残留修复 — compaction marker	manual
759	12	memory-context	s12	dup	ctx.compact()统一compaction events — compaction events	manual
760	12	memory-context	s12	dup	memory context prompts优化+implicit memory source — memory prompt	manual
761	12	memory-context	s12	boundary	built-in local embedding provider manifest	manual
762	12	memory-context	s12	boundary	gemini-embedding-2 memory-search	manual
763	12	memory-context	s12	dup	history image blocks不再每轮重注入 — attachment token优化	manual
764	12	memory-context	s12	dup	browser/web内容默认untrusted包裹 — M147已实装	manual
765	12	memory-context	s12	boundary	Telegram blocking memory recall	manual
766	12	memory-context	s12	boundary	Web UI Metrics页	manual
767	12	memory-context	s12	dup	/context token usage分布 — context_map M106已实装	manual
768	12	memory-context	s12	dup	tool call groups折叠单行 — UI compaction	manual
769	12	memory-context	s12	boundary	Web UI Metrics页(重复)	manual
770	12	models-routing	s12	noise	AI SDK provider迁移(Moonshot/DeepSeek/Cerebras)	manual
771	12	models-routing	s12	noise	Xiaomi MiMo Token Plan provider	manual
772	12	models-routing	s12	dup	retry.maxDelayMs上限 — retry caps	manual
773	12	models-routing	s12	noise	--model gpt-4-0125/4turbo别名	manual
774	12	models-routing	s12	dup	paste images进Assistant Panel — attachments	manual
775	12	models-routing	s12	dup	Usage.totalTokens必填 — telemetry	manual
776	12	models-routing	s12	dup	image-runtime generic fallback — media fallback	manual
777	12	models-routing	s12	dup	async media generation失败直投 — delivery	manual
778	12	models-routing	s12	dup	blank visible user prompts跳过 — input hygiene	manual
779	12	models-routing	s12	dup	empty-stream provider failures归timeout failover — failover信号	manual
780	12	models-routing	s12	dup	restart后WhatsApp captured replies接回controller — channel durability	manual
781	12	models-routing	s12	dup	不外泄raw provider错误到chat channels — error hygiene	manual
782	12	models-routing	s12	dup	API key写~/.clawdbot/.env共享 — env config	manual
783	12	models-routing	s12	boundary	Google Live browser session WebSocket	manual
784	12	models-routing	s12	dup	reasoning effort max/ultra tiers — reasoning levels已实装	manual
785	12	models-routing	s12	dup	httpIdleTimeoutMs+websocketConnectTimeoutMs — timeout knobs	manual
786	12	models-routing	s12	boundary	Tailscale discovery/bind mode	manual
787	12	models-routing	s12	noise	Gemini image models add	manual
788	12	models-routing	s12	variant	.qwen/review-context.json声明式review manifest	manual
789	12	models-routing	s12	boundary	llama.cpp GGUF in-process inference	manual
790	12	models-routing	s12	noise	muse-spark-1.1 provider	manual
791	12	models-routing	s12	boundary	MoA first-class model	manual
792	12	models-routing	s12	dup	manifest-sourced model rows+conflict reporting — model catalog	manual
793	12	models-routing	s12	dup	/models选择跨transient failure保持 — model persistence	manual
794	12	models-routing	s12	noise	Kimi-K2.5 model add	manual
795	12	models-routing	s12	dup	Vertex ADC auth markers保留 — provider auth	manual
796	12	models-routing	s12	boundary	Kilo Gateway provider	manual
797	12	models-routing	s12	dup	utility-model生成session titles — session naming(feature model同源)	manual
798	12	models-routing	s12	boundary	TTS openai.baseUrl config	manual
799	12	models-routing	s12	dup	provider/model refs归一化后registry lookup — resolution	manual
800	12	models-routing	s12	boundary	kimi web_search provider	manual
801	12	models-routing	s12	boundary	/tts personas/per-agent overrides	manual
802	12	models-routing	s12	boundary	WhatsApp Web media kinds	manual
803	12	models-routing	s12	noise	provider model mapping npm tracking	manual
804	12	models-routing	s12	dup	chat model picker+thinking-level持久 — model picker	manual
805	12	orchestration	s12	dup	paginated thread history+resume+search — session history	manual
806	12	orchestration	s12	boundary	DelegateTool外部client注册delegate tools	manual
807	12	orchestration	s12	dup	subagent[compacted]标记恢复指引 — compaction指引	manual
808	12	orchestration	s12	dup	background tasks共享控制面 — jobs/background已实装	manual
809	12	orchestration	s12	dup	sandbox approval三阶段解耦 — approval staging	manual
810	12	orchestration	s12	boundary	Bot Mode agents society	manual
811	12	orchestration	s12	dup	subagent model config限primary/fallback — delegate config	manual
812	12	orchestration	s12	boundary	Devin orchestrates Devins(管理会话)	manual
813	12	orchestration	s12	noise	multi-agent相邻stream显示异常修复	manual
814	12	orchestration	s12	boundary	Feishu group broadcast dispatch	manual
815	12	orchestration	s12	boundary	crew member ghost avatar	manual
816	12	orchestration	s12	dup	tool result序列化一致提升cache hit — cache coherence	manual
817	12	orchestration	s12	dup	interrupt暂停running subagents不撂着 — abort cascade已实装	manual
818	12	orchestration	s12	boundary	Kiro Crew remote crew	manual
819	12	orchestration	s12	dup	loading token count为0修复 — telemetry	manual
820	12	orchestration	s12	cand	secrets: Bitwarden/1Password作为secret source	manual
821	12	orchestration	s12	dup	active-memory recall channel解析跳过:条目 — channel resolve	manual
822	12	orchestration	s12	boundary	connected crew侧边栏聊天	manual
823	12	orchestration	s12	dup	subagent progress token从cumulative改per-turn — telemetry	manual
824	12	orchestration	s12	dup	parent task失败已完tool calls容错 — delegate容错	manual
825	12	orchestration	s12	dup	team导航回主session修复 — UI nav	manual
826	12	orchestration	s12	dup	Agent tool省subagent_type自动Fork — delegate-modes族(同43)	manual
827	12	other	s12	variant	/btw侧问(当前context快速提问)	manual
828	12	other	s12	dup	chat_turn_timeout_secs=14400默认 — turn timeout	manual
829	12	other	s12	dup	thinkingLevelMap per-model映射 — reasoning levels	manual
830	12	other	s12	boundary	host networking mode(沙箱)	manual
831	12	other	s12	dup	Monitor tool后台命令输出唤醒 — monitor已实装	manual
832	12	other	s12	dup	process.*工具显示command/pid — jobs surface	manual
833	12	other	s12	boundary	Quick Chat macOS/Linux	manual
834	12	other	s12	dup	/code /smart /bypass mode slash commands — mode commands	manual
835	12	other	s12	boundary	Pi/Codex native web search embedded	manual
836	12	other	s12	variant	X-Agent-Purpose请求分类头	manual
837	12	other	s12	boundary	TLS verify关闭feature toggle(私部署)	manual
838	12	other	s12	noise	preview=stable fast-track	manual
839	12	other	s12	boundary	Vim editor mode NORMAL/INSERT	manual
840	12	perf	s12	dup	custom-token auth同步fast path — auth perf	manual
841	12	perf	s12	dup	openclaw config validate启动前校验 — config validation	manual
842	12	perf	s12	variant	接近heap limit自动heap snapshot(OOM forensics)	manual
843	12	perf	s12	dup	ToolSearch search+activate模式 — tool search	manual
844	12	remote-cloud	s12	boundary	remote control CLI session任意设备	manual
845	12	remote-cloud	s12	boundary	command palette keybinding footer	manual
846	12	remote-cloud	s12	boundary	cloud agents tray键盘选择	manual
847	12	remote-cloud	s12	boundary	WeChat KF/WeCom集成	manual
848	12	remote-cloud	s12	dup	proxy环境login直连超时修复 — proxy handling	manual
849	12	remote-cloud	s12	boundary	LM Studio bundled provider	manual
850	12	remote-cloud	s12	dup	local service/model/usage/media轮询cap — polling caps	manual
851	12	remote-cloud	s12	boundary	Telegram markdown image→media payload	manual
852	12	remote-cloud	s12	boundary	unified Git picker(branches+worktrees+stashes)	manual
853	12	remote-cloud	s12	boundary	resolve merge conflicts/@-mention branch	manual
854	12	remote-cloud	s12	boundary	Transport ABC+AWS Bedrock plugin	manual
855	12	remote-cloud	s12	dup	WebFetch并发竞速(同271) — fetch strategy	manual
856	12	sandbox-exec	s12	cand	worktree: --worktree auto-create under ~/.cline/worktrees	manual
857	12	sandbox-exec	s12	dup	browser.target sandbox/host/custom gating — browser boundary	manual
858	12	sandbox-exec	s12	variant	Sandbox Center不可用时allow-by-default fallback(与我方fail-closed相反→注意)	manual
859	12	sandbox-exec	s12	dup	ls别名mcp/sandbox/marketplace list — CLI aliases	manual
860	12	sandbox-exec	s12	dup	session tools默认all-session可见性 — session access	manual
861	12	sandbox-exec	s12	noise	Docker build process-group timeouts	manual
862	12	sandbox-exec	s12	noise	WebUI editor branch/terminal fixes	manual
863	12	sandbox-exec	s12	dup	sandbox断开后工具不悬挂 — cleanup	manual
864	12	sandbox-exec	s12	dup	per-agent sandbox overrides+tool policy — policy layering	manual
865	12	sandbox-exec	s12	dup	sandbox browser image对比 — config check	manual
866	12	sandbox-exec	s12	boundary	pluggable sandbox backends+OpenShell	manual
867	12	sandbox-exec	s12	boundary	dev container networking	manual
868	12	sandbox-exec	s12	noise	split-publication verifier修复	manual
869	12	scheduling	s12	dup	/loop首次调度不依赖Bash(date) — scheduling(我方cron无此依赖)	manual
870	12	scheduling	s12	dup	Codex turn limits/cron backoff — turn/schedule limits	manual
871	12	scheduling	s12	dup	Bedrock daily quota归rate limit — failover信号	manual
872	12	scheduling	s12	variant	Automation Blueprints(按名选automation引导填参)	manual
873	12	scheduling	s12	dup	cron attempt层转发tool policy/event params — schedule policy	manual
874	12	scheduling	s12	dup	jobs.json.bak保留pre-normalization — durable store	manual
875	12	scheduling	s12	dup	cron get <id>单查 — schedule inspect	manual
876	12	scheduling	s12	boundary	memory/dreaming experimental(拒方向)	manual
877	12	scheduling	s12	dup	macOS lock唤醒后长轮询消息丢失修复 — channel resilience	manual
878	12	scheduling	s12	dup	periodic callback阻塞不stall lease refresh+mid-turn steer持久 — lease/steer	manual
879	12	scheduling	s12	dup	interactive跳过respawn wrapper+terminal loss退出 — launch hygiene	manual
880	12	scheduling	s12	dup	conversation外auto-continuation tool approval投递 — approval routing	manual
881	12	scheduling	s12	boundary	macOS browser proxy routing/paste语义	manual
882	12	search-index	s12	boundary	ZED_DEVICE_ID GPU选择	manual
883	12	search-index	s12	boundary	Devin for Teams计划	manual
884	12	sessions-history	s12	cand	hook-events: unstable_Checkpoint文件修改后自动触发	manual
885	12	sessions-history	s12	dup	resume keybinding action — session resume	manual
886	12	sessions-history	s12	dup	subagent cwd分离+hook context prompt-local — delegate isolation	manual
887	12	sessions-history	s12	dup	--agent指定session agent — agent selection	manual
888	12	sessions-history	s12	boundary	Control UI layout重排	manual
889	12	sessions-history	s12	boundary	session workspace rail快捷键	manual
890	12	sessions-history	s12	dup	/rewind回到历史消息点 — session_rewind已实装	manual
891	12	sessions-history	s12	dup	warmup standby冷启settings生效 — prewarm config	manual
892	12	sessions-history	s12	dup	/sessions搜索索引title+prompt+response — session search	manual
893	12	sessions-history	s12	dup	crush session list/inspect — session list	manual
894	12	sessions-history	s12	dup	model选择Global/Session scope切换 — model scope	manual
895	12	sessions-history	s12	cand	session-insights: on-demand生成(非自动)	manual
896	12	sessions-history	s12	dup	session indexes先commit再evict — store ordering	manual
897	12	sessions-history	s12	dup	hooks session-routing hardening检查 — hook config hardening	manual
898	12	sessions-history	s12	dup	cross-project session search+meta分离存储 — session store	manual
899	12	sessions-history	s12	dup	无reset policy时跨idle/day保会话 — session persistence	manual
900	12	sessions-history	s12	dup	external agents session history+panel restoration — session restore	manual
901	12	sessions-history	s12	boundary	V2 Session API配置Hooks	manual
902	12	sessions-history	s12	dup	warmup mode env生效修复 — prewarm env	manual
903	12	shell-tools	s12	dup	session reuse不再dup histories — session dedupe	manual
904	12	shell-tools	s12	boundary	Alacritty vi mode	manual
905	12	shell-tools	s12	dup	native PowerShell工具检测7+/5.1 — shell detection	manual
906	12	shell-tools	s12	dup	terminal timeout_ms参数 — command timeout	manual
907	12	shell-tools	s12	boundary	terminal_init_command自动跑命令	manual
908	12	shell-tools	s12	variant	file tool titles OSC8 file://超链接	manual
909	12	shell-tools	s12	dup	bash tool多shell source解析序 — shell resolution	manual
910	12	shell-tools	s12	dup	drag-paste各类附件 — attachments	manual
911	12	shell-tools	s12	dup	read_command_output取全量输出 — outspool readback已实装	manual
912	12	shell-tools	s12	dup	mcporter.cmd EINVAL走bare shell retry — spawn hardening	manual
913	12	shell-tools	s12	variant	NDJSON结构化stdin协议(start/message/…)	manual
914	12	shell-tools	s12	dup	/branch fork当前会话 — session fork	manual
915	12	shell-tools	s12	cand	path-shadowing: jobs.js:505 shell:true spawn下cmd.exe先搜cwd,repo内git.exe/rg.exe可影子化已批准命令 — 待加NoDefaultCurrentDirectoryInExePath或绝对PATH解析	manual
916	12	shell-tools	s12	dup	Codex/Claude/Cursor bundle发现+skills映射 — compat dirs	manual
917	12	shell-tools	s12	boundary	prompt navigation/collapsible sections(shell integration)	manual
918	12	shell-tools	s12	dup	shell command history完整可查 — command history	manual
919	12	shell-tools	s12	boundary	Gemini 3.6+git panel grouped changes	manual
920	12	shell-tools	s12	boundary	terminal commands/web fetch sandboxing	manual
921	12	shell-tools	s12	dup	非string command args校验 — arg validation	manual
922	12	shell-tools	s12	boundary	app-server exec TTY/PTY streaming	manual
923	12	shell-tools	s12	dup	background command实时流输出 — output streaming	manual
924	12	shell-tools	s12	noise	Windows Terminal keyboard修复	manual
925	12	skills-plugins	s12	dup	SHA-pinned plugin index+admission CI — manifest sha256已实装	manual
926	12	skills-plugins	s12	boundary	Cline Account billing view	manual
927	12	skills-plugins	s12	dup	unified slash command message tag+command-args — command protocol	manual
928	12	skills-plugins	s12	dup	cross-scope config优先级(local>project>user) — config layering	manual
929	12	skills-plugins	s12	boundary	mobile responsive/queued messages Enter-to-send	manual
930	12	skills-plugins	s12	boundary	Discord agent-proxy voice mode	manual
931	12	skills-plugins	s12	dup	built-in tools走extension-runner同context — tool context	manual
932	12	skills-plugins	s12	boundary	External Context Provider Extension Profile	manual
933	12	skills-plugins	s12	boundary	MCP Marketplace	manual
934	12	skills-plugins	s12	boundary	MCP Apps resource reads/tool-call metadata	manual
935	12	skills-plugins	s12	cand	hook-events: input事件(intercept/transform用户输入)	manual
936	12	skills-plugins	s12	dup	Pi skills SKILL.md约定 — skills format已实装	manual
937	12	skills-plugins	s12	cand	hook-forms: prompt/agent/http类型hooks不再丢弃	manual
938	12	skills-plugins	s12	noise	marketplace tracking events	manual
939	12	skills-plugins	s12	boundary	bundled-plugin embedded extension factory seam	manual
940	12	skills-plugins	s12	boundary	STT WebSocket/multipart helpers	manual
941	12	skills-plugins	s12	dup	plugin agent config不受enabled限 — config	manual
942	12	skills-plugins	s12	boundary	STT transcribeAudioFile API	manual
943	12	skills-plugins	s12	noise	ModelRuntime.getAuth重构(其SDK)	manual
944	12	skills-plugins	s12	dup	debug/config输出redact+block内部HTTP session覆盖 — secrets scrub	manual
945	12	skills-plugins	s12	dup	exec preflight/env denylist/output boundary加固 — security batch同源	manual
946	12	skills-plugins	s12	variant	disableModelInvocation skill/command禁用模型调用开关	manual
947	12	skills-plugins	s12	dup	/skills查看全部loaded skills — skill listing	manual
948	12	skills-plugins	s12	dup	auto-discover ~/.claude/skills/*/SKILL.md等 — compat dirs已实装	manual
949	12	skills-plugins	s12	boundary	extension autocomplete providers	manual
950	12	skills-plugins	s12	dup	image create/edit统一core image_generate — media tool	manual
951	12	ui-ux	s12	boundary	transparent mode toggle	manual
952	12	ui-ux	s12	dup	empty-state "New {agent} Thread"占位+draft prompt — UI placeholder	manual
953	12	ui-ux	s12	dup	completion通知含exit code — notify payload	manual
954	12	ui-ux	s12	boundary	/prompt开$EDITOR写长prompt	manual
955	12	ui-ux	s12	dup	workspace file行details懒加载md preview — file preview	manual
956	12	ui-ux	s12	dup	double-ESC空输入rollback — M126族批4	manual
957	12	ui-ux	s12	boundary	Web UI timeline交错布局	manual
958	12	ui-ux	s12	boundary	project panel unfocus创建文件	manual
959	12	ui-ux	s12	cand	worktree: sidebar新thread建worktree	manual
960	12	ui-ux	s12	boundary	Workers page(同960重复)	manual
961	12	ui-ux	s12	boundary	Vim mode agent panel+Python venv	manual
962	11	api-sdk	s11	boundary	unstable_v2_logout清token缓存	manual
963	11	api-sdk	s11	boundary	/api/v1/fs+files端点	manual
964	11	api-sdk	s11	noise	SDK v0.49.3 breaking changes	manual
965	11	approval-gate	s11	dup	ACP mode permission request修复 — protocol	manual
966	11	approval-gate	s11	dup	fire-and-forget task spawning — spawn modes	manual
967	11	approval-gate	s11	boundary	Mem0 memory write(external context)	manual
968	11	approval-gate	s11	noise	连续approval dialog Enter误吃修复	manual
969	11	approval-gate	s11	dup	Gemini CLI OAuth前account-risk warning — auth warning	manual
970	11	approval-gate	s11	boundary	Fable 5.1 org rollout	manual
971	11	approval-gate	s11	variant	browser SSRF默认trusted-network(allowPrivateNetwork=true) vs 我方deny	manual
972	11	approval-gate	s11	dup	outbound hooks channel delivery/session identity — provenance	manual
973	11	approval-gate	s11	boundary	Signal/iMessage/WhatsApp thumb approvals	manual
974	11	approval-gate	s11	dup	dmPolicy allowlist空allowFrom拒绝 — config validation	manual
975	11	approval-gate	s11	dup	composer载live slash-command catalog — command surface	manual
976	11	approval-gate	s11	boundary	/tts replies webchat+token hint	manual
977	11	approval-gate	s11	dup	doctor不追加built-in channel ids到plugins.allow — config fix	manual
978	11	approval-gate	s11	variant	CODEBUDDY_DISABLE_PLAN_MODE host开关	manual
979	11	approval-gate	s11	dup	expert team plan permission state保存 — plan mode	manual
980	11	approval-gate	s11	dup	custom CA+危险project config keys+heredoc加固 — config safety	manual
981	11	approval-gate	s11	dup	policy-globs锚定: decide.js:84 resolve(workdir,p)全部锚workdir非启动cwd — 已覆盖	manual
982	11	approval-gate	s11	noise	Skill tool Configure按钮开错工具修复	manual
983	11	approval-gate	s11	boundary	SDK tools.invoke RPC	manual
984	11	approval-gate	s11	dup	path-shaped allowlists+safe-bin trust+Allow Always持久 — M146族	manual
985	11	approval-gate	s11	boundary	group pairing policy stable chat ID	manual
986	11	approval-gate	s11	dup	HookInput.permission_mode输出真实运行mode — hook metadata	manual
987	11	approval-gate	s11	dup	session model overrides继承threads/topics — model inheritance	manual
988	11	approval-gate	s11	variant	--require-approval替代-y/--yes语义反转	manual
989	11	approval-gate	s11	dup	sandbox mode下plan mode可用 — mode compat	manual
990	11	approval-gate	s11	dup	plan review内容/revise不退出修复 — plan mode	manual
991	11	approval-gate	s11	boundary	plugin SDK reaction approval helpers	manual
992	11	approval-gate	s11	boundary	ClawHub package publishing dry-run	manual
993	11	approval-gate	s11	boundary	api.runtime.taskFlow plugin seam	manual
994	11	approval-gate	s11	boundary	side-by-side diff viewer TUI	manual
995	11	approval-gate	s11	boundary	OpenGrep扫描+GHSA triage	manual
996	11	approval-gate	s11	dup	plugin-only tool allowlists+owner /allowlist — tools_deny已实装	manual
997	11	approval-gate	s11	variant	"always allow in <workspace>"域标签 vs session域	manual
998	11	approval-gate	s11	boundary	Slack groupPolicy provider级default	manual
999	11	approval-gate	s11	boundary	Slack native exec approval routing	manual
1000	11	approval-gate	s11	boundary	status bar session/mode/context fields	manual
1001	11	approval-gate	s11	dup	team member不再跳过permission confirmation — per-member gate	manual
1002	11	approval-gate	s11	boundary	A2A pending approval不算progress	manual
1003	11	approval-gate	s11	dup	plan approval mode启动fallback安全 — mode fallback	manual
1004	11	attachments	s11	boundary	Finder paste进project panel	manual
1005	11	attachments	s11	boundary	ImageGen生成工具	manual
1006	11	attachments	s11	boundary	allowedInsecureVoiceBaseUrls	manual
1007	11	attachments	s11	dup	generated-media announce pending时不fallback — delivery ordering	manual
1008	11	attachments	s11	dup	incompatible image format请求错误修复 — format normalization	manual
1009	11	attachments	s11	dup	clipboard image多文件paste优化 — attachments	manual
1010	11	attachments	s11	boundary	LINE outbound media sends	manual
1011	11	attachments	s11	boundary	text-to-image/image-to-image model tags	manual
1012	11	attachments	s11	boundary	unified model catalog(text/image/video/music)	manual
1013	11	attachments	s11	boundary	iMessage local attachment roots	manual
1014	11	attachments	s11	boundary	缺麦克风守卫audio paths	manual
1015	11	bugfix	s11	noise	/add-dir空参误触picker修复	manual
1016	11	bugfix	s11	dup	stream timeout二次后挂起修复 — retry	manual
1017	11	bugfix	s11	noise	旧版本config cache污染修复	manual
1018	11	bugfix	s11	boundary	Windows cert store登录	manual
1019	11	bugfix	s11	dup	request timeout单次failover(408) — failover	manual
1020	11	bugfix	s11	noise	macOS *.sql保存改名bug	manual
1021	11	bugfix	s11	noise	Kitty keyboard NumLock修复	manual
1022	11	bugfix	s11	dup	502 socket hang TCP keepalive — transport resilience	manual
1023	11	bugfix	s11	dup	sign-in走config proxy(mode/url/no_proxy) — proxy	manual
1024	11	bugfix	s11	boundary	Slack assistant thread lifecycle	manual
1025	11	bugfix	s11	cand	proxy: PAC脚本动态选择proxy/direct	manual
1026	11	cli-flags	s11	boundary	Chrome Site Search Shortcut建议	manual
1027	11	cli-flags	s11	cand	proxy: NO_PROXY尊重	manual
1028	11	cli-flags	s11	boundary	audit logs 65+企业事件(SSO/SCIM)	manual
1029	11	cli-flags	s11	noise	codebuddy-code CLI别名	manual
1030	11	cli-flags	s11	dup	daemon runtime selection+logs/health — daemon ops	manual
1031	11	cli-flags	s11	noise	CLI命令集裁剪(update/gateway-daemon移除)	manual
1032	11	cli-flags	s11	boundary	new line keybinding自定义	manual
1033	11	cli-flags	s11	variant	stream-json _meta customPassthrough自定义HTTP头	manual
1034	11	cli-flags	s11	cand	hook-forms: prompt-type Stop hook continueOnBlock	manual
1035	11	cli-flags	s11	dup	stream timeout自动重试 — retry	manual
1036	11	cli-flags	s11	variant	hub drain升级不丢工作(graceful drain)	manual
1037	11	cli-flags	s11	dup	--tools内置工具白名单(可空) — tools_deny	manual
1038	11	file-edit	s11	dup	progress draft labels滚走+structured tool rows — render	manual
1039	11	file-edit	s11	dup	patch-budget image 400缩小重试 — attachment retry	manual
1040	11	file-edit	s11	noise	大文件edit冻结修复	manual
1041	11	file-edit	s11	boundary	Wayland screen-share/multi-line replace	manual
1042	11	git-pr-ci	s11	boundary	Git Panel View Options	manual
1043	11	git-pr-ci	s11	boundary	commit.template加载	manual
1044	11	git-pr-ci	s11	boundary	past commits查看	manual
1045	11	git-pr-ci	s11	boundary	git: branch diff命令	manual
1046	11	git-pr-ci	s11	boundary	git.diff_base setting	manual
1047	11	git-pr-ci	s11	boundary	limit_content_width setting	manual
1048	11	git-pr-ci	s11	dup	delivery queue持久lastAttemptAt防retry starvation — queue backoff	manual
1049	11	git-pr-ci	s11	noise	branch diff不刷新修复	manual
1050	11	git-pr-ci	s11	boundary	git rename branch/symbol outline	manual
1051	11	git-pr-ci	s11	noise	v2.98.0 npm OOM重发布	manual
1052	11	git-pr-ci	s11	boundary	xAI custom model tool/image config	manual
1053	11	integrations	s11	boundary	Discord forum/media threads	manual
1054	11	integrations	s11	boundary	Replit custom connectors	manual
1055	11	mcp-tools	s11	dup	MCP prompts /mcp:<server>:<prompt> — mcp prompts已实装	manual
1056	11	mcp-tools	s11	boundary	background sessions page/sidebar	manual
1057	11	mcp-tools	s11	boundary	pi auth print-api-key/print-bearer-token导出	manual
1058	11	mcp-tools	s11	boundary	GH_COPILOT_TOKEN手动token	manual
1059	11	mcp-tools	s11	cand	ToolSearch自然语言找工具+MCP defer_loading	manual
1060	11	mcp-tools	s11	dup	OAuth locked refresh path重载+retry — auth refresh	manual
1061	11	mcp-tools	s11	dup	browser existing-session driver validation+reconnect — browser resilience	manual
1062	11	mcp-tools	s11	dup	credential storage统一~/.pi/agent/auth.json — auth store	manual
1063	11	mcp-tools	s11	noise	doctor --fix误修openai-codex路由回退	manual
1064	11	mcp-tools	s11	variant	/login provider多OAuth登录选项	manual
1065	11	mcp-tools	s11	cand	remote-mcp: OAuth redirect URI localhost:8765/callback	manual
1066	11	mcp-tools	s11	dup	MCP config ${VAR:-default}语法 — env expansion	manual
1067	11	mcp-tools	s11	noise	MCP env expansion文档	manual
1068	11	mcp-tools	s11	boundary	Teams/Zoom/Meet meeting plugins	manual
1069	11	mcp-tools	s11	dup	model output/用户消息/tool参数untrusted包裹 — M147已实装	manual
1070	11	mcp-tools	s11	dup	stored-credential refresh走HTTP proxy dispatcher — proxy	manual
1071	11	mcp-tools	s11	dup	Gemini CLI proxy OAuth/Bedrock embedding修正 — provider fixes	manual
1072	11	mcp-tools	s11	boundary	Telegram inline button styles	manual
1073	11	mcp-tools	s11	boundary	platform expansion wave	manual
1074	11	mcp-tools	s11	boundary	Helix mode/MCP配置UX	manual
1075	11	mcp-tools	s11	cand	remote-mcp: streamable http连接支持进行中	manual
1076	11	memory-context	s11	variant	--weak-model用于commit message/聊天历史(专用轻量模型)	manual
1077	11	memory-context	s11	cand	remote-mcp: 交互式OAuth browser自动打开	manual
1078	11	memory-context	s11	dup	--no-session-persistence(同172) — ephemeral sessions	manual
1079	11	memory-context	s11	noise	New from summary菜单移除	manual
1080	11	memory-context	s11	dup	agents/auth写路径修正 — auth write path	manual
1081	11	memory-context	s11	boundary	memory-wiki plugin allowlist	manual
1082	11	memory-context	s11	dup	OpenAI-compatible cache hit率统计0修复 — telemetry	manual
1083	11	memory-context	s11	dup	compaction后boundary message恢复异常修复 — compaction	manual
1084	11	memory-context	s11	dup	PreMessage/MaxToken compaction统一boundary过滤 — compaction	manual
1085	11	memory-context	s11	dup	仅显式UI创建才fire /new+lifecycle hooks — hook discipline	manual
1086	11	memory-context	s11	dup	tool/compaction/branch usage入session totals — usage accounting	manual
1087	11	memory-context	s11	noise	release pipeline heap 8GB	manual
1088	11	memory-context	s11	dup	reasoning model summarizer不硬编码1024输出 — compaction	manual
1089	11	memory-context	s11	dup	fallback memory filename collision suffixes — memory file safety	manual
1090	11	memory-context	s11	dup	context condensation v2 — compaction	manual
1091	11	memory-context	s11	dup	auto memory注入首消息(同541) — memory injection	manual
1092	11	memory-context	s11	boundary	people wiki/关系图(其产品向)	manual
1093	11	memory-context	s11	boundary	multimodal image/audio indexing memorySearch	manual
1094	11	memory-context	s11	boundary	ollama embedding query prefixes	manual
1095	11	memory-context	s11	variant	openai Responses WebSocket-first transport auto	manual
1096	11	memory-context	s11	boundary	context engines availableTools/citationsMode	manual
1097	11	memory-context	s11	noise	memory-core deprecated subpath alias	manual
1098	11	memory-context	s11	dup	compaction结果含post-compaction token估计 — compaction telemetry	manual
1099	11	memory-context	s11	boundary	Mistral provider	manual
1100	11	memory-context	s11	dup	provider/search/embedding响应cap — output caps	manual
1101	11	memory-context	s11	variant	Typed Memory 4类(user/feedback/project/reference)+YAML frontmatter	manual
1102	11	memory-context	s11	dup	streaming compaction cancel UI态修复 — compaction UX	manual
1103	11	memory-context	s11	dup	rename/compact sessions+时长显示 — session ops	manual
1104	11	memory-context	s11	dup	webfetch.complete/failed结构化telemetry — observability	manual
