src	id	grp	detail	item
dedup-h	2160	git-pr-ci	secrets-broker: 1Password/Bitwarden/vault代填(不見明文)	Tencent Yuanbao and QQBot support expand channel coverage with Yuanbao docs/catalog entries and QQBot group chat, streaming, media upload, and pipeline refactor
dedup-h	2164	i18n-l10n	render: unicode_mode(auto/unicode/ascii)终端降级	Project-specific settings: Settings now load from both ~/.pi/agent/settings.json (global) and <cwd>/.pi/settings.json (project). Project settings override globa
dedup-h	2173	mcp-tools	remote-mcp: /mcp add slash command(OAuth servers)	(Preview only) Sidebar: Added branch name display next to worktree names in the agent sidebar thread list.
dedup-h	2174	mcp-tools	remote-mcp: ACP client-provided MCP servers(VS Code/Zed/JetBrains)	Agent: Added ability to @-mention your branch diff to include all changes since main as context.
dedup-h	2176	mcp-tools	hook-forms: ToolDefinition.prepareArguments(schema validation前处理raw args)	Rust: Added GitHub artifact digest verification for rust-analyzer and clangd binary downloads, skipping downloads if cached binary digest is up to date.
dedup-h	2177	mcp-tools	secrets: encrypted local storage CLI+MCP OAuth credentials	Added option to create a branch from a default branch in git branch picker.
dedup-h	2178	mcp-tools	remote-mcp: settings配置HTTP transport MCP servers	Agent: Added vim-mode support in the agent panel's editor.
dedup-h	2193	mcp-tools	remote-mcp: MCP stored prompts模板支持	MCP Dynamic Authorization State: Fixed an issue where overly broad matching in MCP validation logic caused dynamic authorization states to be incorrectly cleare
dedup-h	2194	mcp-tools	remote-mcp: mcp add figma --url免额外配置OAuth	Fixed the issue where a task was interrupted when the model output a tool call as plain text in long contexts. The system now automatically reminds the model to
dedup-h	2201	mcp-tools	remote-mcp: tools/list_changed通知自动刷新tool list	Tool Call Truncation Retry: Optimized the retry mechanism for tool call parameters truncated due to model output exceeding limits, improving retry success rate
dedup-h	2202	mcp-tools	remote-mcp: Elicitation(tool执行中交互prompt)	MCP Dynamic Tool Updates: Support tools/list_changed notifications from MCP servers, automatically refreshing the tool list when changes occur without requiring
dedup-h	2208	mcp-tools	remote-mcp: streamable HTTP OAuth免feature flag	Config/schema handling now rejects conflicting MultiAgentV2 thread limits, resolves relative agent-role config paths, hides unsupported MCP bearer-token fields,
dedup-h	2212	mcp-tools	pdf: ClawPDF extraction+encrypted PDF+MCP structured content	Prompt mcp login when adding a streamable HTTP server that supports oauth
dedup-h	2215	mcp-tools	remote-mcp: streamable HTTP server支持oauth时提示mcp login	devin mcp login succeeds against authorization servers that advertise RFC 9207 issuer identification, MCP connection setup times out instead of leaving later re
dedup-h	2219	mcp-tools	remote-mcp: RFC 9207 issuer identification OAuth	ACP: Client-Provided MCP Servers — Editor integrations (VS Code, Zed, JetBrains) can now register their own MCP servers, which Hermes picks up as additional age
dedup-h	2221	mcp-tools	remote-mcp: tool progress updates TUI/SDK	PDF/tools: use ClawPDF for PDF extraction, support encrypted PDF extraction, and surface MCP structured content in agent tool results. (#87670, #87751)
dedup-h	2227	memory-context	compaction: /model --compaction专用压缩模型	Auth/OpenAI Codex OAuth: keep native /model ...@profile selections on the target session and honor explicit user-locked auth profiles even when per-agent auth o
dedup-h	2239	memory-context	compaction: postCompactionSections部署可配	Agent: Added support to delete and configure MCP servers from the panel's settings view.
dedup-h	2240	memory-context	compaction: maxActiveTranscriptBytes preflight触发	Added token count feedback when adding command output to chat.
dedup-h	2260	memory-context	hook-events: session:compact:before/after+plugin compact	Agent Recovery After Compact: Fixed the issue where the session incorrectly used the compact agent after context compression, ensuring subsequent conversations
dedup-h	2263	memory-context	memory-local: CODEBUDDY.local.md个人偏好(排除version control)	Trace Visualization: Web UI TracesView adds new metrics including LLM call statistics, cache hit rate, and multi-model display
dedup-h	2274	memory-context	memory-guard: memory_store拒绝prompt-like注入文本	hermes backup & hermes import — Full backup and restore of your Hermes configuration, sessions, skills, and memory. Migrate between machines or create snapshots
dedup-h	2302	models-routing	reasoning-effort: ACP reasoning effort levels(Default到Max)	Unified /settings command: New settings menu consolidating thinking level, theme, queue mode, auto-compact, show images, hide thinking, and collapse changelog.
dedup-h	2345	models-routing	model-policy: modelPolicy.allow显式allowlist与aliases分离	Kimi K2.7 Code support: the provider catalog now includes the new Kimi coding model, with replay handling that preserves its reasoning content across tool turns
dedup-h	2346	models-routing	model-fast: /fast priority queue toggle(OpenAI/Anthropic)	Parallel web search is bundled: API-key discovery, guarded endpoint handling, cache-safe session IDs, onboarding, and documentation make it a first-class search
dedup-h	2355	models-routing	api-surface: gateway /v1/chat/completions端点(auth+SSE+per-agent routing)	Agents: apply the LLM idle watchdog while provider stream setup is still pending, preventing silent pre-stream model hangs from waiting for the full agent timeo
dedup-h	2375	models-routing	model-fast: session-level fast toggles(/fast,TUI,Control UI,ACP)+持久	TTS: add Edge TTS provider fallback, defaulting to keyless Edge with MP3 retry on format failures. (#1668) Thanks @steipete. https://docs.clawd.bot/tts
dedup-h	2376	models-routing	model-fallback: ordered fallback provider chain(primary失败自动切换)	Gateway: add OpenAI-compatible /v1/chat/completions HTTP endpoint (auth, SSE streaming, per-agent routing). (#680) — thanks @steipete.
dedup-h	2384	models-routing	model-fallback: provider usage-policy refusal时切换另一model重试	Unified model runtime and provider authentication — ModelRuntime centralizes model configuration, provider-owned /login, and dynamic provider catalogs. See Prov
dedup-h	2398	models-routing	delegate-parallel: parallel subagents+Vercel AI Gateway	Fixed Bedrock runtime endpoint resolution to stop pinning built-in regional endpoints over AWS_REGION / AWS_PROFILE, restoring us.* and eu.* inference profile s
dedup-h	2405	models-routing	thinking-level: max level(GPT-5.6/adaptive Claude)	A new Adaptive model option is now available in the model picker. Adaptive intelligently selects the best model for each task, helping you make your quota last
dedup-h	2408	orchestration	hook-events: 20+ events(tool failures/sub-agent lifecycle/permission/file watching)	This week's release includes support for parallel subagents, Vercel AI Gateway as a new LLM provider, git diff stats in the git panel, and support for compound
dedup-h	2422	orchestration	pairing: authenticated local gateway-client self-connections免device pairing	Real-time Multitask progress: Web / WorkBuddy can now display tool calls, results, and final responses from background workers dispatched by the coordinator in
dedup-h	2428	orchestration	policy-compose: enterprise/mode/user/project/subagent权限层predictable compose	Added 20+ hook events covering tool failures, sub-agent lifecycle, task management, permission approvals, file watching, and more:
dedup-h	2431	orchestration	delegate-resume: 恢复之前sub-task sessions(staged agents)	Background / async subagents — delegate work and keep going — delegate_task(background=true) now dispatches a subagent that runs in the background and returns a
dedup-h	2433	orchestration	delegate-backends: team members三backend(in-process/detached/tmux)	Persistent sessions and subagent runs: keep persistent sessions created with visible spawning editable and steerable in their parent tree. Subagent runs remain
dedup-h	2434	orchestration	delegate-params: Task tool model参数(lite/reasoning变体)	TUI fuzzy selectors: delegate list matching to pi-tui, adding slash-token and alpha-number matching while removing the local matcher fork.
dedup-h	2438	orchestration	agent-profiles: built-in verifier profile(subagent review/validation)	Agents and subagents: queued follow-ups, manual-turn priority, subagent completion handoffs, session locks, context usage, fallback diagnostics, and final paylo
dedup-h	2449	other	rate-limit: codex.rate_limits事件websocket侧信号	Hooks now resolve their workspace from the VS Code window instead of shared global state in ~/.cline. With a second window open on another project, a workspace'
dedup-h	2450	other	memory-recall: Auto Recall profile提交时自动搜外部context	Automatic updates: the app checks on launch and every 2 hours, downloads new versions in the background, and prompts for a one-click restart. Ignored updates ap
dedup-h	2456	other	tools-scope: per-agent tools.message.actions.allow(send-only)	File Checkpoints: Support for automatically creating file checkpoints during sessions, allowing file restoration to previous states when rewinding
dedup-h	2462	other	delegate-params: spawn_agent接role preset+send_input可interrupt	clear the edit mode add file input after adding file
dedup-h	2482	other	remote-mcp: ID token认证MCP	Prevented the triage agent from processing tracking issues created by the autofix bot by adding a user login guard to the workflow trigger.
dedup-h	2483	other	hook-forms: HTTP Hook/Function Hook/Async Hook	Adds an opt-in Auto Recall profile that automatically searches external context when you submit a prompt, with built-in security limits. (#7877) by @doudouOUC
dedup-h	2512	remote-cloud	remote-mcp: unreachable remote MCP不再卡session启动	Turns that come back completely empty are now retried on every provider, not just Ollama — hosted backends (OpenRouter, Cline, OpenAI-compatible endpoints) prev
dedup-h	2514	remote-cloud	browser-mcp: Chrome DevTools MCP attach mode	Fix @ file mentions failing to find files in some environments (notably VS Code Remote SSH, and after certain VS Code updates) by keeping the file-search fallba
dedup-h	2521	remote-cloud	remote-mcp: protected-resource metadata resource数组(GitLab /api/v4)	Add support for custom model ID in AWS Bedrock provider, enabling use of Application Inference Profile (Thanks @clicube!)
dedup-h	2522	remote-cloud	clipboard: OSC 52 SSH/mosh远程剪贴板	MCP configuration loading: Fixed local .mcp.json being incorrectly ignored in headless/server mode; now only uses the specified MCP servers when --strict-mcp-co
dedup-h	2527	remote-cloud	oauth: device-code OAuth login(headless远程授权)	MCP servers whose protected-resource metadata lists resource as an array, such as self-hosted GitLab servers at /api/v4/mcp, now complete OAuth discovery instea
dedup-h	2536	remote-cloud	remote-mcp: service account impersonation(IAP Cloud Run)	Canvas: lazy-load HTTP host, hosted media resolver, CLI implementation, and tool runtime modules so Gateway startup only pays Canvas implementation cost on firs
dedup-h	2537	remote-cloud	remote-mcp: OAuth authentication remote servers	Browser/CDP: allow the selected remote CDP profile host for CDP health and control checks without widening browser navigation SSRF policy, so WSL-to-Windows Chr
dedup-h	2539	remote-cloud	remote-mcp: vibe mcp add/remove命令免编辑TOML	Onboarding/headless Linux daemon probe hardening: treat systemctl --user is-enabled probe failures as non-fatal during daemon install flow so onboarding no long
dedup-h	2542	sandbox-exec	sandbox-scope: commands按path申请write access(非全有全无)	Changed Windows and WSL keybinding defaults to avoid terminal-reserved shortcuts for image paste, model cycling, editor undo, fullscreen transcript navigation a
dedup-h	2547	sandbox-exec	env-sandbox: block JVM injection(MAVEN_OPTS/SBT_OPTS/GRADLE_OPTS/ANT_OPTS)+glibc tunables	macOS sandbox file backup: A backup pipeline is integrated before redirection, writing, and modification in the macOS sandbox shell (including truncate operatio
dedup-h	2548	sandbox-exec	remote-mcp: MCP Apps tool calls+namespaced registration+parallel-call opt-in	Improved command pagination: Local and sandbox commands now consistently use a non-interactive pager, and less is prevented from updating history files in the u
dedup-h	2562	sandbox-exec	sandbox-backup: macOS redirection/write前备份pipeline	Sandbox: add sandbox.browser.binds to configure browser-container bind mounts separately from exec containers. (#16230) Thanks @seheepeak.
dedup-h	2567	scheduling	schedule-cli: cron run --wait(timeout/poll)+cron.runs --run-id过滤	Agent: Improved the agent's terminal sandbox so commands can request write access to specific paths instead of all-or-nothing filesystem access, with the option
dedup-h	2570	scheduling	schedule-forms: exit-triggered schedules+detached session-targeted runs	Agents can now create and manage scheduled tasks and a durable todo agenda. Schedules are scoped to the workspace that registered them
dedup-h	2578	scheduling	schedule-forms: per-job dynamic cadence+gated script payloads+cron heartbeat	Cron and usage: add exit-triggered schedules, detached session-targeted runs, and an in-flight job doctor warning, while making the existing usage footer easier
dedup-h	2584	security-secrets	security-cmd: /security-review代码安全审计命令	Gateway/restart sentinel: wake the interrupted agent session via heartbeat after restart instead of only sending a best-effort restart note, retry outbound deli
dedup-h	2590	sessions-history	resume-state: fetch-pr --resume校验on-disk state复用worktree	Gateway/Auth: refactor gateway credential resolution and websocket auth handshake paths to use shared typed auth contexts, including explicit auth.deviceToken s
dedup-h	2595	sessions-history	goal-flows: persisted /goal workflows+APIs+model tools+continuation	Stop the legacy-task migration backlog from spamming telemetry, and record a migration outcome only once the seeded session actually persists, so a failed migra
dedup-h	2596	sessions-history	hook-events: session.started event	/undo works again once the agent has used tools — the checkpoint picker counted tool results as user turns, so restore aborted with "Could not find user message
dedup-h	2628	sessions-history	hook-visibility: workspace hook缺失/非零退出阻塞时可见提示	Discord/voice: include bounded IDENTITY.md, USER.md, and SOUL.md profile context in realtime voice session instructions by default, with voice.realtime.bootstra
dedup-h	2682	shell-tools	sandbox-scope: terminal commands按host申请network access	Terminal Split-Screen Stability: Fixed an issue where split-screen operations could unexpectedly reset the terminal. PTY sessions are now only destroyed when th
dedup-h	2689	shell-tools	tool-policy: dynamic tool policies(terminal tool先行)	When the model inspected the output of a background job, it would fill the context window if the output is too large. We're doing the same as regular Bash comma
dedup-h	2691	shell-tools	env-expose: PI_SESSION_ID/FILE/PROVIDER/MODEL/REASONING_LEVEL给commands	Message queue: messages typed while the agent or a !bash command is running are queued and shown above the input; Esc pauses the queue, Ctrl+C drops the last qu
dedup-h	2699	shell-tools	hook-events: post_compaction event(summary stdin)	Improved terminal and markdown rendering - Added markdown list indentation, task-list checkbox rendering, large markdown robustness, and inline image placement
dedup-h	2726	skills-plugins	remote-mcp: plugin MCP servers+install时OAuth授权	Added access to the local shell environment for task context providers, enabling local Rust tool installations to function (#17964; thanks WeetHet).
dedup-h	2729	skills-plugins	hook-forms: message_end result替换finalized messages	Added MCP server support to plugins, including authorizing plugin MCP OAuth during install
dedup-h	2730	skills-plugins	hook-events: session_shutdown带reason+targetSessionFile	Add slash command to create a new rules file (/newrule)
dedup-h	2733	skills-plugins	tool-policy: per-sender tool policies(channel-scoped sender keys)	Marketplace Auto-Update Toggle: Added POST /api/v1/plugins/marketplaces/auto-update to enable/disable marketplace auto-update. When enabled, the backend periodi
dedup-h	2741	skills-plugins	hook-forms: Codex app-server async tool_result middleware	Install the Devin Extension to get started.Use macros to easily attach Playbooks (from Slack, Devin IDE, or webapp):A macro is a shortcut (e.g. !macro) that can
dedup-h	2746	skills-plugins	hook-forms: HookInputProcessor注入context fields	Channels: add the Buzz plugin, Slack user-identity and Agent View modes, Telegram Bot API rich blocks and native Markdown lists, and richer Matrix formatting. (
dedup-h	2749	skills-plugins	hook-forms: tools/call AbortSignal转发plugin handlers	Faster Gateway and reply paths: session reads, plugin metadata fingerprints, auth env snapshots, auto-enabled plugin config, tool-search catalogs, and stable me
dedup-h	2754	skills-plugins	hook-events: after_provider_response(同1867)	MCP plugin tools: forward host MCP tools/call AbortSignal through createPluginToolsMcpHandlers().callTool into plugin tool.execute, so host cancellation actuall
dedup-h	2755	skills-plugins	worktree: built-in worktree plugin($VIBE_HOME/worktrees创建/复用/清理)	Update/doctor: keep plugin-validation bypasses on the top-level $include config write path, so package repair can update included plugin config files without fl
dedup-h	2766	skills-plugins	hook-forms: before_prompt_build prependSystemContext/appendSystemContext	Plugin and model infrastructure is lighter at startup: static model catalogs, manifest-backed model rows, lazy provider dependencies, and external runtime-depen
dedup-h	2768	skills-plugins	hook-context: llm_output暴露contextTokenBudget+source metadata	Web search/plugins: resolve plugin-scoped SecretRef API keys for bundled Exa, Firecrawl, Gemini, Kimi, Perplexity, Tavily, and Grok web-search providers when th
dedup-h	2774	skills-plugins	outbound-webhook: bundled webhook ingress plugin(外部自动化驱动TaskFlows)	Plugins/Matrix: add a new Matrix plugin backed by the official matrix-js-sdk. If you are upgrading from the previous public Matrix plugin, follow the migration
dedup-h	2787	skills-plugins	tool-defer: --tools/frontmatter tools支持Defer(...)/NoDefer(...)修饰	Moved canonical dynamic catalog refresh to async ModelRuntime.refresh()/pi-ai Models.refresh(). Legacy extension OAuth modifyModels remains supported as a synch
dedup-h	2818	ui-ux	paste-context: 粘贴代码自动检测file context+折叠	Control UI sender identity polish: attributed user messages show the author's real avatar in an always-visible gutter on identity-resolving gateways, sender lab
dedup-h	2825	ui-ux	ui-changes: Review Changes diff视图(同1955)	Control UI: read the Quick Settings exec policy badge from tools.exec.security instead of the non-schema agents.defaults.exec.security path, so configured full/
dedup-h	2830	ui-ux	ui-prefs: auto-scroll mode selector持久(near-bottom/follow)	Gateway/Chat UI: sanitize non-streaming final chat.send/chat.inject payload text with the same envelope/untrusted-context stripping used by chat.history, preven
dedup-h	2832	ui-ux	ui-config: pending-changes diff panel(JSON5解析+敏感值redact)	Add workspace toggle command to command palette and prompt input (@alexyaroshuk)
dedup-h	2839	ui-ux	ui-input: Ctrl+Z input box undo	Added support for rendering Markdown frontmatter metadata blocks in Markdown Preview and Agent Panel.
dedup-h	2854	ui-ux	outbound-webhook: webhook直发platform chat(不经session)	(Breaking) Removed non-standard builtin binding from - to open the project panel. You can re-add it to your keymap file with: {"context":"VimControl", "bindings
dedup-h	2861	api-sdk	api-surface: v2 filesystem RPCs(read/write/copy/dir/watch)	Plugins/install: limit install-time code safety scans to plugin-owned runtime entrypoints while keeping dependency manifest denylist checks, so trusted packages
dedup-h	2862	api-sdk	--add-dir进exec+TS SDK	Enabled workflow agents to surface approval requests for shell commands and edits directly to the parent interface with background run support. (#8240, #8303)
dedup-h	2863	approval-gate	mcp-bridge: ACPX plugin-tools MCP bridge default-off+trust boundary	Markdown Preview: Added HTML <img src="/some-image.svg"> tag support. (#36700; thanks RemcoSmitsDev)
dedup-h	2866	approval-gate	api-surface: GET /workspaces/:ws/sessions/live-state(trusted-only)	Agent: Added support for mistral-nemo for Ollama. (#37723; thanks sbe-arg)                            - Agent: Fixed model selector query to clear on dismiss. (
dedup-h	2869	approval-gate	fs-scope: edit tool可访问project外文件(需授权)	Includes all stable desktop improvements through 0.0.20, including the Windows release, full-history session search, scheduled-task fixes, inline tool-result im
dedup-h	2870	approval-gate	sandbox-scope: Codex可ask额外sandbox permissions+auto规则	Operations and updates: harden official plugin recovery, restart managed Gateways after failed update handoff, keep safe cron delivery defaults, avoid Node-spec
dedup-h	2878	approval-gate	channel-privacy: per-channel contextVisibility(all/allowlist/allowlist_quote)	Plugin SDK: add a reply payload sending hook for plugins that need to deliver channel-owned replies and flatten package types for SDK declarations. (#82823, #87
dedup-h	2883	approval-gate	mode-api: Session API setPermissionMode/getPermissionMode动态切换	feat: Add support for --add-dir to exec and TypeScript SDK (#6565) — @33551757+danfhernandez
dedup-h	2884	approval-gate	approval-auto: --approve-for-me CLI flag(自动审批准的)	Extensions: Added API for extensions to provide settings schemas, enabling autocompletion for language server settings. (#48334; thanks aviatesk)
dedup-h	2906	approval-gate	approval-resume: managed approval resumes用approvalId免resume token	MCP Permission Batch Settings: Support for wildcard syntax to approve all tools of a server at once, simplifying permission management process
dedup-h	2907	approval-gate	approval-scope: MCP wildcard批准整server工具	Build Script Permission Fix: Fixed issue where binary file executable permissions were lost during wheel package build process
dedup-h	2913	approval-gate	plan-mode: 开始实施时自动切回Code Mode	Session Permission Mode Persistence: Fixed the issue where permission mode was reset when switching sessions in multi-instance scenarios
dedup-h	2914	approval-gate	plan-mcp: plan mode允许readOnlyHint MCP tools+列servers/tools	WeChat/WeCom Three-Option Permissions: Permission request prompts upgraded from (y/n) to (y=allow/n=deny/a=always allow), supporting remembered choices to reduc
dedup-h	2929	approval-gate	mcp-scope: external MCP loopback clients用session-bound attach grants	Fixed image uploads failing when the file extension doesn’t match the actual image format (e.g. a JPEG saved as .png). The MIME type is now detected from the im
dedup-h	2931	approval-gate	apikeyhelper-rce: apiKeyHelper在trust前被执行RCE修复(历史漏洞参照)	feat(plan): implement support for MCP servers in Plan mode
dedup-h	2941	approval-gate	policy-mdm: teams定terminal allow/deny lists+CLI scopes exact-match	Stronger Codex and approval flows: Codex app-server SecretRefs, thread context, bounded turn text, routed approval context, and typed SDK approval/session helpe
dedup-h	2957	approval-gate	ignore-file: .clineignore阻止访问指定patterns	CLI/devices: retry explicit device-pair approval with operator.admin after a pairing-scope ownership denial, so existing admin-capable paired-device tokens can
dedup-h	2958	approval-gate	plan-mode: "Yes, restore previous mode"退出选项	Gateway/proxy: pass ALL_PROXY / all_proxy into the global Undici env-proxy dispatcher and provider proxy-fetch helper while keeping SSRF trusted-proxy auto-upgr
dedup-h	2960	approval-gate	plan-mcp: plan mode支持MCP servers	Voice-call/media-stream: resolve the source IP from trusted forwarding headers for per-IP pending-connection limits when webhookSecurity.trustForwardingHeaders
dedup-h	2961	approval-gate	approval-scope: MCP access_resource tool auto-approve	Feishu/allowlist: canonicalize allowlist entries by explicit user/chat kind, strip repeated feishu:/lark: provider prefixes, and stop folding opaque Feishu IDs
dedup-h	2962	approval-gate	fs-scope: multi-root workspace auto-approve file reads	Plugins/loading: narrow CLI, provider, and channel activation to manifest-declared needs, preserve explicit scope and trust boundaries, and centralize manifest-
dedup-h	2966	approval-gate	tls-pin: 首用wss:// certificate pinning前要求system TLS trust	macOS app/skills: add "Get your key" homepage link and storage-path hint to the API key editor dialog, and show the config path in save confirmation messages. (
dedup-h	2968	approval-gate	tool-perms: web_search作permissions.deny/ask/allow工具名	Security/exec approvals: unwrap more pnpm runtime forms during approval binding, including pnpm --reporter ... exec and direct pnpm node file runs, with matchin
dedup-h	3059	cli-flags	logging: LOG_JSON结构化JSON日志	Auto-reply/group chats: fall back to automatic source delivery when a channel precomputes message-tool-only replies but the message tool is unavailable, so Disc
dedup-h	3061	cli-flags	agent-create: agent create CLI args(--path/--description/--mode/--tools)	Agents/failover: classify generic api_error payloads as retryable only when they include transient failure signals, so MiniMax-style backend failures still trig
dedup-h	3070	cli-flags	sharelink: ShareLinkUnpublish撤销公开链接	Adds machine-readable convergence observation codes like root-cause-triage and batch-fixes to enable automated review actions.
dedup-h	3072	cli-flags	tool-defaults: defaultTools初始built-in selection(global/project)	Fixed an issue where entering a new search in project search would drop unsaved edits in the project search buffer.
dedup-h	3082	cli-flags	plugin-create: defineToolPlugin+plugins build/validate/init	Task Execution Turn Control: Added --max-turns command-line parameter, allowing you to precisely control the AI assistant's execution turns, avoiding infinite l
dedup-h	3086	cli-flags	egress-log: 记录+检查出站网络调用的inspector	On this release, we're adding a setting to disable this auto-update mechanism. You can do that by adding the setting below to your crush.json or by setting CRUS
dedup-h	3094	cli-flags	command-frontmatter: prompt templates argument-hint字段	Enable for a Task: When you start a new task with Jules, you’ll have the option to make these environment variables available to it.
dedup-h	3099	cli-flags	turn-limits: --max-turns控制assistant轮数	CLI/plugins: add defineToolPlugin plus openclaw plugins build, validate, and init for typed simple tool plugins with generated manifest metadata, optional tool
dedup-h	3106	cli-flags	auth-header: models.json authHeader:true自动加Bearer	macOS: prompt to install the global clawdbot CLI when missing in local mode; install via clawd.bot/install-cli.sh (no onboarding) and use external launchd/CLI i
dedup-h	3107	cli-flags	command-args: slash commands argument-hint	Added CLI arguments to agent create command for scripting (--path, --description, --mode, --tools)
dedup-h	3110	cli-flags	plan-cmd: /plan命令reasoner+plan system prompt	Support trajectory replay on web app, can be enabled by FEATURE_TRAJECTORY_REPLAY feature flag
dedup-h	3124	file-edit	remote-mcp: MCP OAuth无scopes时请求全部supported scopes	Map option in chat/edit nudges - Easily create maps from chat and edit interactions
dedup-h	3125	file-edit	redact-toggle: secret redaction默认关闭翻转(防patch-corruption)	Added a first-run prompt when using zed <path> to choose between opening in an existing window or a new window. The choice is saved to settings and can be chang
dedup-h	3128	file-edit	memory-share: memory write tool跨runtime共享	Added the skip_focus_for_active_in_search setting for the file finder, which allows turning off the default behavior of skipping focus on the active file while
dedup-h	3135	git-pr-ci	--commit-prompt自定义commit message prompt	Security and CI add cargo-audit and cargo-deny. GitHub Actions are updated to checkout v6 and upload-artifact v5. macOS 13 builds are dropped. A flaky Ubuntu va
dedup-h	3147	git-pr-ci	commit-scope: agent.commit_message_include_project_rules排除rules文件	Added --commit-prompt to customize the commit message prompt.
dedup-h	3158	git-pr-ci	read-file: indentation mode提取完整semantic blocks	Editing an earlier prompt or retrying a safety-buffered turn now creates a contextual branch, preserving the original conversation, attachments, and mention bin
dedup-h	3162	git-pr-ci	ci-mode: --exit-on-error(API错误立即退出,CI/CD用)	PR #91587 test(qa): add qa run --qa-profile and unified output summary/evidence. Thanks @RomneyDa.
dedup-h	3171	git-pr-ci	hook-events: session_before_tree/session_tree(自定义branch summary)	Added the ability to view and launch suggested tasks for GitLab from the homepage
dedup-h	3179	git-pr-ci	worktree: --worktree-branch指定base branch	Deprecate XML tool protocol selection and force native tool format for new tasks (PR #10281 by @daniel-lxs)
dedup-h	3180	git-pr-ci	worktree: EnterWorktree tool接可选path参数切入既有worktree	Add Cloud Team page with comprehensive team management features (PR #10267 by @roomote)
dedup-h	3187	git-pr-ci	context-forms: rules作context添加	Added a history view to the Git panel that allows to quickly see in a list all the commits for a given branch.
dedup-h	3191	i18n-l10n	rpc-framing: strict LF-delimited JSONL(只\n分割)	ACP: Added the ability to restart agent servers from the Agent Settings panel.
dedup-h	3193	integrations	channel-groups: per-group mention gating(*.groups+"*" defaults)	Added support for GitLab merge request links in git blame hover popover. (#47973; thanks littleKitchen)
dedup-h	3195	mcp-tools	remote-mcp: configurable OAuth callback URL	Added git: create pull request command to open a pull request for the current branch. (#42959; thanks tommyming)
dedup-h	3196	mcp-tools	remote-mcp: startup_timeout_ms per-server	Added support for zed://git/commit/<sha>?repo=<path> URI scheme to access the git commit view. (#43341; thanks schpet)
dedup-h	3198	mcp-tools	remote-mcp: /mcp login/logout/status TUI命令	?Added a tree view for the Git panel. Users are able to switch between Flat and Tree view in the Git panel. (#44089; thanks xipeng-jin)
dedup-h	3202	mcp-tools	ui-mcp: collapsible MCP response panels	Agent: Added a notice that editing a message in the agent panel will restart the thread from that point.
dedup-h	3204	mcp-tools	remote-mcp: 可配置tool call timeout	Agent: Added support for zooming the agent panel via workspace::ToggleZoom.
dedup-h	3205	mcp-tools	remote-mcp: GET /mcp连接状态监控端点	agent: Added support for adding rules as context.
dedup-h	3206	mcp-tools	tool-guard: external tool guard provider(managed serve pre-execution allow/deny)	Added support for opening subfolders of git repositories and treating them as part of a repository (show git status in project panel, show git diff in gutter, g
dedup-h	3208	mcp-tools	同3204(重复)	Slack/tool actions: add an explicit upload-file Slack action that routes file uploads through the existing Slack upload transport, with optional filename/title/
dedup-h	3209	mcp-tools	tool-perms: settings editor per-tool permission页	BlueBubbles/self-chat echo dedupe: drop reflected duplicate webhook copies only when a matching fromMe event was just seen for the same chat, body, and timestam
dedup-h	3213	mcp-tools	remote-mcp: 加HTTP/SSE server时自动触发OAuth	Stop treating a turn that completes with a plan as a failed turn when a plan-blocked command was its only tool call. The turn no longer ends in the error state
dedup-h	3215	mcp-tools	browser-profiles: userDataDir attach Brave/Edge等	Add collapsible MCP response panels to keep conversations focused on the main AI responses while still allowing access to detailed MCP output (Thanks @valinha!)
dedup-h	3217	mcp-tools	mcp-apps: interactive HTML tool interfaces sandbox渲染	CodeBuddy Code now supports MCP servers declaring interactive HTML tool interfaces, rendered in the Web UI as secure sandboxed iframes. Tool results are no long
dedup-h	3228	mcp-tools	schema-slim: tool call descriptions减98%(flag)	MCP List Cache: Fixed an issue where, after list() returned an empty result, calling add() would not show the new server in the cache.
dedup-h	3233	mcp-tools	remote-mcp: env vars配置connection timeout	In this release we're introducing a new flag that reduces the size of tool call descriptions by about 98%, which we're estimating will save about 120K tokens/se
dedup-h	3235	mcp-tools	remote-mcp: 首个/mcp add时建registry	MCP registry fetches now use the platform certificate store and configured proxy settings, so custom registries load correctly on networks with a corporate prox
dedup-h	3237	mcp-tools	cli-mcp: agentic CLI providers(Claude/Codex/Gemini)用MCP tools	feat(mcp): add --type alias for --transport flag in gemini mcp add
dedup-h	3248	mcp-tools	remote-mcp: MCP notification支持	/mcp login, /mcp logout, and /mcp status commands to authenticate OAuth-backed MCP servers from the TUI
dedup-h	3250	mcp-tools	remote-mcp: HTTP MCP servers OAuth	Plugins/xAI: complete OAuth-backed xAI login and sidecar auth fixes, including guarded loopback callback CORS handling, video generation polling/defaults, and n
dedup-h	3251	mcp-tools	remote-mcp: 非交互模式跑MCP prompt commands	CLI/configure: let model-only section setup enter provider auth directly instead of first asking where the Gateway runs, unblocking OAuth/token setup in termina
dedup-h	3252	mcp-tools	remote-mcp: mcp add OAuth flags	Codex/OpenAI paths are smoother: auth-profile-backed media tools, MCP server projection, context-engine thread rotation, and better app-server/runtime fallback
dedup-h	3253	mcp-tools	remote-mcp: slash commands跑mcp prompt	GitHub Copilot: exchange OAuth tokens for Copilot API tokens on image understanding requests and route Gemini image payloads through Chat Completions, fixing Co
