idx	novelty	cluster	src	verdict	detail	pass
3483	0.57	other	s5	annotated	可见性 | TUI 面板族（files/logs）、工具 pendi	prior
3484	0.57	other	s5	annotated	执行 | `execute_code`：模型写 Python 在沙箱	prior
3485	0.57	other	s5	annotated	1. **跨会话存活的协调者实体**——今天 task 是信箱，背后是父	prior
3486	0.57	other	s5	annotated	侧栏 agent mode 图标 | 同构（会话类型徽章） |	prior
3487	0.57	other	s5	annotated	**缺口小结**: 交互工艺主体已齐；剩余真实缺口 = minimap、	prior
3488	0.57	other	s5	annotated	粘贴超长文本转附件 | Codex composer | paste	prior
3489	0.57	other	s5	annotated	会话 | 任务列表（workspace/分组/时间线视图+搜索+3/	prior
3490	0.57	other	s5	annotated	协作 | architect 双模型管道（主模型规划→editor	prior
3491	0.57	other	s5	annotated	协作 | architect 双模型管道（主模型规划→editor	prior
3492	0.57	perf	s5	annotated	13. 命令列表非确定性顺序破 prompt cache	prior
3493	0.57	perf	s5	annotated	上下文 | `/compact`+自动压缩+`/context` 组	prior
3494	0.57	remote-clo	s5	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
3495	0.57	remote-clo	s5	annotated	`!cmd` 操作员直跑 | Claude Code bang mo	prior
3496	0.57	remote-clo	s5	annotated	协作 | Remote Development：SSH/WSL/Do	prior
3497	0.57	remote-clo	s5	annotated	中断流自动重试 | 变体（provider 韧性族，已记） |	prior
3498	0.57	sandbox-ex	s5	annotated	> `harnesses/openhands.md`；事件溯源平台：Ev	prior
3499	0.57	sessions-h	s5	annotated	agent 驱动内置浏览器 | 同构（browser 工具族已配置即	prior
3500	0.57	sessions-h	s5	annotated	session pin/unpin | 同构（supervisor	prior
3501	0.57	sessions-h	s5	annotated	模型切换不丢上下文 | 踩坑：durable session 不复发	prior
3502	0.57	sessions-h	s5	annotated	开屏 | `opencode` 进 TUI+`opencode ru	prior
3503	0.57	shell-tool	s5	annotated	prompt history 200 帽 | **候选（薄）**：输	prior
3504	0.57	shell-tool	s5	annotated	执行 | 沙箱执行命令+**删除保护走回收站+改前备份**（Wind	prior
3505	0.57	shell-tool	s5	annotated	Origin repos / Vercel publish / 云预	prior
3506	0.57	shell-tool	s5	annotated	执行 | shell 块 `confirm_ask`（y/A 全/S	prior
3507	0.57	shell-tool	s5	annotated	会话 | 任务列表（workspace/分组/时间线视图+搜索+3/	prior
3508	0.57	shell-tool	s5	annotated	模型 | ~200 provider 目录+BYOK+cline 托	prior
3509	0.57	shell-tool	s5	annotated	Hermes | v2026.9.7/9.11（窗口前缘）；v0.2	prior
3510	0.57	shell-tool	s5	annotated	**Code Scans**：宽泛工程目标→调查→评估→PR | 编	prior
3511	0.57	skills-plu	s5	annotated	扩展 | **extension converters**（吞 Cl	prior
3512	0.57	skills-plu	s5	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
3513	0.57	skills-plu	s5	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
3514	0.57	skills-plu	s5	annotated	上下文 | AGENTS.md（user-global+worksp	prior
3515	0.57	ui-ux	s5	annotated	侧栏 agent mode 图标 | 同构（会话类型徽章） |	prior
3516	0.57	ui-ux	s5	annotated	19. 审批卡渲染中 Enter 是否可批未加载完的内容	prior
3517	0.57	ui-ux	s5	annotated	侧栏 agent mode 图标 | 同构（会话类型徽章） |	prior
3518	0.57	ui-ux	s5	annotated	prompt history 200 帽 | **候选（薄）**：输	prior
3519	0.57	ui-ux	s5	annotated	TUI 全量显示 bash 命令 | 同构（bash 命令行可见）	prior
3520	0.57	ui-ux	s5	annotated	侧栏 agent mode 图标 | 同构（会话类型徽章） |	prior
3521	0.57	ui-ux	s5	annotated	输入 | TUI composer：`@`文件、`!`shell 直	prior
3522	0.57	ui-ux	s5	annotated	会话 | Fork 自任一已完成 assistant 消息（继承历史	prior
3523	0.57	ui-ux	s5	annotated	输入 | TUI composer：`@`文件、`!`shell 直	prior
3524	0.57	other	s4	annotated	执行 | `auto` 模式分类器自动批准（后台安全检查） | ❌	prior
3525	0.57	shell-tool	s4	annotated	— | 草稿任务 | **HOLD** | 无真实阻塞证据，不建新	prior
3526	0.57	shell-tool	s4	annotated	粘贴超长文本转附件 | Codex composer | paste	prior
3527	0.57	api-sdk	s4	annotated	N5 | session_search scope 参数（promp	prior
3528	0.57	api-sdk	s4	annotated	memory write 名/id FK 崩溃修复 | 踩坑：API	prior
3529	0.57	approval-g	s4	annotated	M96 allowlist 导入导出 | **落地**（前批） |	prior
3530	0.57	approval-g	s4	annotated	macOS TCC 签名身份持久 | 平台 N/A |	prior
3531	0.57	approval-g	s4	annotated	从目录安装插件 | 同构（skills 目录装载） |	prior
3532	0.57	attachment	s4	annotated	Live Voice Mode | 边界（语音 UX 非范围） |	prior
3533	0.57	attachment	s4	annotated	18. 图片附件字节嗅探是否覆盖声明 MIME（zip 标 image）	prior
3534	0.57	attachment	s4	annotated	扩展 | skills 中心+zip 上传+自定义 agent（co	prior
3535	0.57	bugfix	s4	annotated	subagent 结果加 header 标记防冒充 / prompt	prior
3536	0.57	bugfix	s4	annotated	subagent 结果加 header 标记防冒充 / prompt	prior
3537	0.57	bugfix	s4	annotated	memory write 名/id FK 崩溃修复 | 踩坑：API	prior
3538	0.57	bugfix	s4	annotated	执行 | 沙箱执行命令+**删除保护走回收站+改前备份**（Wind	prior
3539	0.57	bugfix	s4	annotated	P1 | 非视觉模型图片静默丢弃（Crush） | ✅ 已防：N8	prior
3540	0.57	bugfix	s4	annotated	Sessions Wake as You Type | N/A（本地	prior
3541	0.57	bugfix	s4	annotated	prompt history 200 帽 | **候选（薄）**：输	prior
3542	0.57	bugfix	s4	annotated	conversation tags/归档、上下文用量表+手动压缩、p	prior
3543	0.57	bugfix	s4	annotated	**Claude Code 2.1.252→2.1.278**（~27	prior
3544	0.57	bugfix	s4	annotated	会话 | 编辑已发消息=会话+文件回该点；每回合 Undo/Reap	prior
3545	0.57	bugfix	s4	annotated	M122 shell 环境快照 | **MISSING** | 无	prior
3546	0.57	bugfix	s4	annotated	tool results 紧随调用即发 | 同构（泵逐条 emit）	prior
3547	0.57	bugfix	s4	annotated	#4 后台孙进程 stdio 悬挂 | **真坑已修**：exit	prior
3548	0.57	bugfix	s4	annotated	diff 默认折叠为 file chip / 会话列表 sort+f	prior
3549	0.57	bugfix	s4	annotated	1. **跨会话存活的协调者实体**——今天 task 是信箱，背后是父	prior
3550	0.57	bugfix	s4	annotated	上下文 | 知识空间（文档库 agent 可查）+三级 rules（	prior
3551	0.57	bugfix	s4	annotated	协作 | architect 双模型管道（主模型规划→editor	prior
3552	0.57	bugfix	s4	annotated	**票仓修正**：编排族在本窗口累计 **6 票**（Cursor Pr	prior
3553	0.57	bugfix	s4	annotated	执行 | **OS 沙箱**：Landlock/Bubblewrap	prior
3554	0.57	bugfix	s4	annotated	### 28.22 MISSING 项补建（2026-09-22，本会话	prior
3555	0.57	bugfix	s4	annotated	上下文 | 压缩 0.8 阈值+**tool_call 对成批摘要*	prior
3556	0.57	cli-flags	s4	annotated	diff 默认折叠为 file chip / 会话列表 sort+f	prior
3557	0.57	cli-flags	s4	annotated	输入 | 交互/单查询/webhook（webhook 安全工具集剥	prior
3558	0.57	cli-flags	s4	annotated	**缺口小结**: 可迁移 = **Guardian 式独立复审**（候	prior
3559	0.57	cli-flags	s4	annotated	执行 | reflection 回路（≤3 次：edit 解析失败/	prior
3560	0.57	cli-flags	s4	annotated	**缺口小结**: 形态外（云 VM/蓝图/集成面）占半；真实可迁移 =	prior
3561	0.57	cli-flags	s4	annotated	输入 | `@path` 引用、`!`bash 前缀直跑、`#`记忆	prior
3562	0.57	cli-flags	s4	annotated	**缺口小结**: 形态外（云 VM/蓝图/集成面）占半；真实可迁移 =	prior
3563	0.57	cli-flags	s4	annotated	侧栏 agent mode 图标 | 同构（会话类型徽章） |	prior
3564	0.57	cli-flags	s4	annotated	- CLI 移除 plan mode → 值得注意的反向信号：对方在简化	prior
3565	0.57	cli-flags	s4	annotated	## 3. Cursor（Anysphere · IDE fork +	prior
3566	0.57	cli-flags	s4	annotated	执行 | Build（执行）/Plan（只读）双内置 agent+`	prior
3567	0.57	cli-flags	s4	annotated	协作 | architect 双模型管道（主模型规划→editor	prior
3568	0.57	file-edit	s4	annotated	未动：M83 惰性加载、M100 fallback 链、M105 工具级	prior
3569	0.57	git-pr-ci	s4	annotated	执行 | policy TOML 规则文件（扩展可带）+confir	prior
3570	0.57	git-pr-ci	s4	annotated	### 28.15 中档批次 2（2026-09-21，commit 5	prior
3571	0.57	git-pr-ci	s4	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	prior
3572	0.57	git-pr-ci	s4	annotated	后台 workflow 运行中的 session 不消失在任务列表	prior
3573	0.57	git-pr-ci	s4	annotated	协作 | Bugbot PR review 服务 | ⛔ | 无 S	prior
3574	0.57	git-pr-ci	s4	annotated	可见性 | DiffView per-file accept/rej	prior
3575	0.57	git-pr-ci	s4	annotated	协作 | Bugbot PR review 服务 | ⛔ | 无 S	prior
3576	0.57	git-pr-ci	s4	annotated	上下文 | `/compact`+自动压缩+`/context` 组	prior
3577	0.57	git-pr-ci	s4	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	prior
3578	0.57	git-pr-ci	s4	annotated	插件版本 diff/下载/编辑/直链 | 变体（skill_mana	prior
3579	0.57	git-pr-ci	s4	annotated	M20 | ~~workspace info 注入的 git rem	prior
3580	0.57	i18n-l10n	s4	annotated	面 | 对方功能（身体层） | 我方 app 面 | 缺口/证据 |	prior
3581	0.57	i18n-l10n	s4	annotated	开屏 | `mini -t "task" --yolo`+confi	prior
3582	0.57	mcp-tools	s4	annotated	MCP 协议版本可配 | N/A 无 MCP |	prior
3583	0.57	mcp-tools	s4	annotated	MCP 协议版本可配 | N/A 无 MCP |	prior
3584	0.57	mcp-tools	s4	annotated	MCP 协议版本可配 | N/A 无 MCP |	prior
3585	0.57	mcp-tools	s4	annotated	可见性 | scheduler 阶段化（validating→exe	prior
3586	0.57	mcp-tools	s4	annotated	工具失败错误正确显示、不残留半成品卡 | 同构（tool 错误行+d	prior
3587	0.57	mcp-tools	s4	annotated	MCP 协议版本可配 | N/A 无 MCP |	prior
3588	0.57	mcp-tools	s4	annotated	MCP 协议版本可配 | N/A 无 MCP |	prior
3589	0.57	mcp-tools	s4	annotated	MCP 协议版本可配 | N/A 无 MCP |	prior
3590	0.57	mcp-tools	s4	annotated	长会话分页 | Codex/OpenCode 虚拟滚动 | UI 侧	prior
3591	0.57	mcp-tools	s4	annotated	执行 | 普通 agent 提问 5 分钟自动继续；权限/计划批准永	prior
3592	0.57	memory-con	s4	annotated	上下文 | jit-context 工具（just-in-time	prior
3593	0.57	memory-con	s4	annotated	上下文 | jit-context 工具（just-in-time	prior
3594	0.57	memory-con	s4	annotated	上下文 | jit-context 工具（just-in-time	prior
3595	0.57	memory-con	s4	annotated	上下文 | `/compact`+自动压缩+`/context` 组	prior
3596	0.57	memory-con	s4	annotated	上下文 | `/compact`+自动压缩+`/context` 组	prior
3597	0.57	memory-con	s4	annotated	- CLI 移除 plan mode → 值得注意的反向信号：对方在简化	prior
3598	0.57	models-rou	s4	annotated	协作 | 无 subagent；benchmark runner 驱	prior
3599	0.57	models-rou	s4	annotated	中断流自动重试 | 变体（provider 韧性族，已记） |	prior
3600	0.57	models-rou	s4	annotated	OpenAI OAuth 登录族 | provider auth 变	prior
3601	0.57	models-rou	s4	annotated	TUI 全量显示 bash 命令 | 同构（bash 命令行可见）	prior
3602	0.57	models-rou	s4	annotated	持久化 | 会话+索引对象+usage 统计（per-seat to	prior
3603	0.57	models-rou	s4	annotated	开屏 | OpenAI 登录/API key；`/init` 写 A	prior
3604	0.57	models-rou	s4	annotated	开屏 | Qwen OAuth 设备流+API key+~15 pr	prior
3605	0.57	models-rou	s4	annotated	> `harnesses/opencode.md`；harness-as	prior
3606	0.57	models-rou	s4	annotated	后台 workflow 运行中的 session 不消失在任务列表	prior
3607	0.57	models-rou	s4	annotated	中断流自动重试 | 变体（provider 韧性族，已记） |	prior
3608	0.57	models-rou	s4	annotated	输入 | 交互/headless/ACP 三模式（headless	prior
3609	0.57	models-rou	s4	annotated	模型 | 多厂 lineup+TRAE Auto Model 路由+	prior
3610	0.57	models-rou	s4	annotated	执行 | 普通 agent 提问 5 分钟自动继续；权限/计划批准永	prior
3611	0.57	models-rou	s4	annotated	模型 | 多厂 lineup+TRAE Auto Model 路由+	prior
3612	0.57	orchestrat	s4	annotated	模型能力声明 | Codex models.json | `mode	prior
3613	0.57	orchestrat	s4	annotated	**子 agent 域核查**：abort 不级联 delegate j	prior
3614	0.57	orchestrat	s4	annotated	协作 | summon.delegate=子 agent（独立 se	prior
3615	0.57	orchestrat	s4	annotated	输入 | 拖入文件夹添加为项目/参考目录 | ⛔ | 无"项目"概念	prior
3616	0.57	orchestrat	s4	annotated	模型 | 多厂 lineup+TRAE Auto Model 路由+	prior
3617	0.57	other	s4	annotated	agent 驱动内置浏览器 | 同构（browser 工具族已配置即	prior
3618	0.57	other	s4	annotated	可见性 | DiffViewProvider 逐改动批准；工具分组动	prior
3619	0.57	other	s4	annotated	diff 默认折叠为 file chip / 会话列表 sort+f	prior
3620	0.57	other	s4	annotated	CodeBuddy exec→execFile 注入 | 不复发（s	prior
3621	0.57	other	s4	annotated	会话 | `/debug` 导出含前后台 subagent 链的 t	prior
3622	0.57	other	s4	annotated	上下文 | 压缩保最近 30%+tool-response 专用预算	prior
3623	0.57	other	s4	annotated	- provider-native web search 默认开、mid	prior
3624	0.57	other	s4	annotated	模型 | catwalk 目录（ETag+内嵌快照）+fantasy	prior
3625	0.57	other	s4	annotated	上下文 | Knowledge（触发描述门控的组织级指令，可按 re	prior
3626	0.57	other	s4	annotated	协作 | AgentDelegateAction 子 control	prior
3627	0.57	other	s4	annotated	可见性 | diff review/accept/revert 每文	prior
3628	0.57	other	s4	annotated	工具失败错误正确显示、不残留半成品卡 | 同构（tool 错误行+d	prior
3629	0.57	other	s4	annotated	2. held-out recall eval 证明 semantic	prior
3630	0.57	other	s4	annotated	- provider-native web search 默认开、mid	prior
3631	0.57	other	s4	annotated	执行 | 默认权限模式逐风险动作问（敏感路径/批量删除/脚本/网络/	prior
3632	0.57	other	s4	annotated	automation 权限分 view/manage + creat	prior
3633	0.57	other	s4	annotated	2. held-out recall eval 证明 semantic	prior
3634	0.57	other	s4	annotated	上下文 | `/compact`+自动压缩+`/context` 组	prior
3635	0.57	other	s4	annotated	> `harnesses/claude-code.md`；~44 内置工	prior
3636	0.57	other	s4	annotated	prompt history 200 帽 | **候选（薄）**：输	prior
3637	0.57	other	s4	annotated	可见性 | DiffViewProvider 逐改动批准；工具分组动	prior
3638	0.57	other	s4	annotated	上下文 | system prompt ~1600 行有序节+**C	prior
3639	0.57	other	s4	annotated	扩展 | skills（SKILL.md+从 CC/Codex/Op	prior
3640	0.57	other	s4	annotated	会话 | 任务列表（workspace/分组/时间线视图+搜索+3/	prior
3641	0.57	other	s4	annotated	可配置超时 | 同构（max_minutes/job timeout	prior
3642	0.57	other	s4	annotated	N7 | skill 加载白名单 | OpenHands 1.16	prior
3643	0.57	other	s4	annotated	2. held-out recall eval 证明 semantic	prior
3644	0.57	other	s4	annotated	Live Voice Mode | 边界（语音 UX 非范围） |	prior
3645	0.57	other	s4	annotated	执行 | 普通 agent 提问 5 分钟自动继续；权限/计划批准永	prior
3646	0.57	other	s4	annotated	协作 | Remote Control（手机浏览器控制已开 work	prior
3647	0.57	other	s4	annotated	上下文 | system prompt ~1600 行有序节+**C	prior
3648	0.57	other	s4	annotated	macOS TCC 签名身份持久 | 平台 N/A |	prior
3649	0.57	other	s4	annotated	工具失败错误正确显示、不残留半成品卡 | 同构（tool 错误行+d	prior
3650	0.57	other	s4	annotated	后台 workflow 运行中的 session 不消失在任务列表	prior
3651	0.57	other	s4	annotated	输入 | `@path` 引用、`!`bash 前缀直跑、`#`记忆	prior
3652	0.57	other	s4	annotated	协作 | 无 subagent；benchmark runner 驱	prior
3653	0.57	other	s4	annotated	执行 | 沙箱 beta（写限 project+temp+依赖目录；	prior
3654	0.57	other	s4	annotated	diff 默认折叠为 file chip / 会话列表 sort+f	prior
3655	0.57	other	s4	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	prior
3656	0.57	other	s4	annotated	平台 | TUI+print/json/rpc+server/cli	prior
3657	0.57	perf	s4	annotated	上下文 | ChatSummary 递归减半压缩+weak_mode	prior
3658	0.57	perf	s4	annotated	> `harnesses/trae.md`；IDE Agent↔SOLO	prior
3659	0.57	perf	s4	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	prior
3660	0.57	perf	s4	annotated	- M56 per-feature 模型路由（zed×2+--weak-	prior
3661	0.57	remote-clo	s4	annotated	配置写竞态 | 不复发——fresh read 无缓存快照 |	prior
3662	0.57	remote-clo	s4	annotated	输入 | 交互/单查询/webhook（webhook 安全工具集剥	prior
3663	0.57	remote-clo	s4	annotated	audit-logs 分页/PR 评论访问闸/Azure DevOp	prior
3664	0.57	remote-clo	s4	annotated	平台 | IDE+CLI（ACP server）+Cloud | ⛔	prior
3665	0.57	remote-clo	s4	annotated	协作 | architect 双模型管道（主模型规划→editor	prior
3666	0.57	remote-clo	s4	annotated	协作 | **KAOS**：同一工具面可指向 SSH/SFTP 远端	prior
3667	0.57	sandbox-ex	s4	annotated	**Aider**（B 级 title 扫描）：窗口内零 release	prior
3668	0.57	sandbox-ex	s4	annotated	协作 | 无 subagent；benchmark runner 驱	prior
3669	0.57	scheduling	s4	annotated	执行 | reflection 回路（≤3 次：edit 解析失败/	prior
3670	0.57	scheduling	s4	annotated	执行 | GooseMode 4 档（Auto/Approve/Sm	prior
3671	0.57	search-ind	s4	annotated	- 现状 SQLite+FTS5+scope+生命周期评分+注入面已落地	prior
3672	0.57	search-ind	s4	annotated	输入 | `#`引用族：#Code 符号(LSP)/#File/#F	prior
3673	0.57	security-s	s4	annotated	**测试基线**：host 220 / pi 171+1skip / a	prior
3674	0.57	sessions-h	s4	annotated	会话 | `--resume`/`--continue`、fork、	prior
3675	0.57	sessions-h	s4	annotated	持久化 | 云 session sleep/wake（30min i	prior
3676	0.57	sessions-h	s4	annotated	- CLI 移除 plan mode → 值得注意的反向信号：对方在简化	prior
3677	0.57	sessions-h	s4	annotated	会话 | `kimi session`/`fork`/`export	prior
3678	0.57	sessions-h	s4	annotated	模型切换不丢上下文 | 踩坑：durable session 不复发	prior
3679	0.57	sessions-h	s4	annotated	开屏 | `goose configure`+`goose doct	prior
3680	0.57	sessions-h	s4	annotated	模型切换不丢上下文 | 踩坑：durable session 不复发	prior
3681	0.57	shell-tool	s4	annotated	执行 | shell 块 `confirm_ask`（y/A 全/S	prior
3682	0.57	shell-tool	s4	annotated	N9 | 完成/待批准声音提醒（opt-in terminal be	prior
3683	0.57	shell-tool	s4	annotated	N9 | 完成/待批准声音提醒（opt-in terminal be	prior
3684	0.57	shell-tool	s4	annotated	N9 | 完成/待批准声音提醒（opt-in terminal be	prior
3685	0.57	shell-tool	s4	annotated	执行 | 长命令自动转后台+background shell ID	prior
3686	0.57	shell-tool	s4	annotated	## 4. Cline（VS Code ext + CLI + clin	prior
3687	0.57	shell-tool	s4	annotated	会话 | 快照/restore（DiffView 逐改动 rever	prior
3688	0.57	shell-tool	s4	annotated	M136 自治 Curator | **REAL (advisory	prior
3689	0.57	shell-tool	s4	annotated	N9 | 完成/待批准声音提醒（opt-in terminal be	prior
3690	0.57	shell-tool	s4	annotated	消息 hover 时间戳、图片点击全尺寸、文件路径可点进 Files	prior
3691	0.57	skills-plu	s4	annotated	扩展 | plugin SDK（hooks：config/event	prior
3692	0.57	skills-plu	s4	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
3693	0.57	skills-plu	s4	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
3694	0.57	skills-plu	s4	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
3695	0.57	skills-plu	s4	annotated	- CLI 移除 plan mode → 值得注意的反向信号：对方在简化	prior
3696	0.57	skills-plu	s4	annotated	从目录安装插件 | 同构（skills 目录装载） |	prior
3697	0.57	skills-plu	s4	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
3698	0.57	ui-ux	s4	annotated	上下文 | 图片/PDF vision 附着、/web 抓页 | 🟡	prior
3699	0.57	ui-ux	s4	annotated	上下文 | 图片/PDF vision 附着、/web 抓页 | 🟡	prior
3700	0.57	ui-ux	s4	annotated	## 12. OpenCode（Anomaly · TUI/deskto	prior
3701	0.57	ui-ux	s4	annotated	TUI 全量显示 bash 命令 | 同构（bash 命令行可见）	prior
3702	0.57	ui-ux	s4	annotated	可见性 | TUI diff 视图、工具行、上下文剩余探针、upda	prior
3703	0.57	ui-ux	s4	annotated	TUI 全量显示 bash 命令 | 同构（bash 命令行可见）	prior
3704	0.57	ui-ux	s4	annotated	TUI 全量显示 bash 命令 | 同构（bash 命令行可见）	prior
3705	0.57	ui-ux	s4	annotated	粘贴超长文本转附件 | Codex composer | paste	prior
3706	0.57	ui-ux	s4	annotated	P1 | 非视觉模型图片静默丢弃（Crush） | ✅ 已防：N8	prior
3707	0.57	ui-ux	s4	annotated	持久化 | 会话+索引对象+usage 统计（per-seat to	prior
3708	0.57	ui-ux	s4	annotated	执行 | GooseMode 4 档（Auto/Approve/Sm	prior
3709	0.57	ui-ux	s4	annotated	diff 默认折叠为 file chip / 会话列表 sort+f	prior
3710	0.57	ui-ux	s4	annotated	输入 | `@`/`/` 自动完成浮层 | ✅ | slash 26	prior
3711	0.57	ui-ux	s4	annotated	TUI 全量显示 bash 命令 | 同构（bash 命令行可见）	prior
3712	0.57	ui-ux	s4	annotated	远端浏览器 tab/窗口记忆 | 边界（内置浏览器） |	prior
3713	0.57	ui-ux	s4	annotated	输入 | slash 族（/chat save/resume /me	prior
3714	0.57	ui-ux	s4	annotated	平台 | CLI REPL+Streamlit GUI+--watc	prior
3715	0.57	ui-ux	s4	annotated	文件监听资源占用/搜索中输入/滚动位置/消息宽度/空 thinkin	prior
3716	0.57	ui-ux	s4	annotated	/status 显示推理模式+待批准+上下文 | 同构 |	prior
3717	0.57	ui-ux	s4	annotated	执行 | 普通 agent 提问 5 分钟自动继续；权限/计划批准永	prior
3718	0.57	ui-ux	s4	annotated	执行 | 普通 agent 提问 5 分钟自动继续；权限/计划批准永	prior
3719	0.57	ui-ux	s4	annotated	平台 | IDE+CLI（ACP server）+Cloud | ⛔	prior
3720	0.57	ui-ux	s4	annotated	diff 默认折叠为 file chip / 会话列表 sort+f	prior
3721	0.57	shell-tool	s6	annotated	**方向三·评审者视角 UI pass（已落）**：新增「关于」视图（侧	prior
3722	0.57	cli-flags	s7	annotated	上下文 | AGENTS.md+project context（gi	prior
3723	0.57	scheduling	s7	annotated	协作 | cron/heartbeat/automations+wa	prior
3724	0.57	skills-plu	s7	annotated	输入 | `@`文件/文件夹/plugin 引用、`#`历史会话链接	prior
3725	0.57	approval-g	s5	annotated	执行 | permission `{permission, patt	prior
3726	0.57	api-sdk	s7	annotated	工具失败错误正确显示、不残留半成品卡 | 同构（tool 错误行+d	prior
3727	0.57	sessions-h	s7	annotated	M130 MCP list_changed | **REAL** |	prior
3728	0.57	mcp-tools	s6	annotated	上下文 | 图片/PDF vision 附着、/web 抓页 | 🟡	prior
3729	0.57	api-sdk	s6	annotated	**缺口小结**: 交互工艺主体已齐；剩余真实缺口 = minimap、	prior
3730	0.57	attachment	s6	annotated	M138 附件字节嗅探 | **落地**——inline 附件 ma	prior
3731	0.57	mcp-tools	s6	annotated	**agent profile 绑定 secrets 子集 + sc	prior
3732	0.57	shell-tool	s6	annotated	输入 | `@path` 引用、`!`bash 前缀直跑、`#`记忆	prior
3733	0.57	skills-plu	s6	annotated	配置写竞态 | 不复发——fresh read 无缓存快照 |	prior
3734	0.57	bugfix	s5	annotated	> `harnesses/gemini-cli.md`；扩展即平台（单	prior
3735	0.57	models-rou	s5	annotated	OpenAI OAuth 登录族 | provider auth 变	prior
3736	0.57	sandbox-ex	s5	annotated	执行 | **每会话 Docker 容器** runtime（Fas	prior
3737	0.57	scheduling	s5	annotated	**缺口小结**: 可迁移 = **AskUserQuestion 结构	prior
3738	0.57	sessions-h	s5	annotated	会话 | sessions list/resume/fork；IDE	prior
3739	0.57	ui-ux	s5	annotated	会话 | sessions list/resume/fork；IDE	prior
3740	0.57	attachment	s4	annotated	Cline 压缩 1024 硬帽压死 reasoning | 待核（	prior
3741	0.57	git-pr-ci	s4	annotated	Help 菜单 About + Check for Updates	prior
3742	0.57	perf	s4	annotated	/status 显示推理模式+待批准+上下文 | 同构 |	prior
3743	0.56	git-pr-ci	s4	annotated	repo-map 结构大纲 | Aider `/map` + tre	prior
3744	0.56	approval-g	s7	annotated	D2 | browser 自动化面 | **做：完整浏览器工具 →	prior
3745	0.56	bugfix	s7	annotated	1. **跨会话存活的协调者实体**——今天 task 是信箱，背后是父	prior
3746	0.56	mcp-tools	s7	annotated	输入 | Plan/Act 模式切换、auto-approve 逐项	prior
3747	0.56	memory-con	s7	annotated	上下文 | compaction=成功摘要后才改 live 列表（失	prior
3748	0.56	other	s7	annotated	7. secret redaction 是否误伤合法内容+错误堆栈/me	prior
3749	0.56	shell-tool	s7	annotated	M122 shell 环境快照 | **MISSING** | 无	prior
3750	0.56	approval-g	s6	annotated	**agent profile 绑定 secrets 子集 + sc	prior
3751	0.56	attachment	s6	annotated	上下文 | 图片/PDF vision 附着、/web 抓页 | 🟡	prior
3752	0.56	bugfix	s6	annotated	会话 | `/side` `/btw` 临时旁路会话（读主历史为上下	prior
3753	0.56	memory-con	s6	annotated	上下文 | `/compact`+自动压缩+`/context` 组	prior
3754	0.56	models-rou	s6	annotated	OpenAI 式工具丢失→统一 tool_call 协议 | 踩坑：	prior
3755	0.56	orchestrat	s6	annotated	- M83 工具惰性加载 ToolSearch/Defer()（4 源）	prior
3756	0.56	other	s6	annotated	thinking traces 可搜索+默认展开 | 变体（sess	prior
3757	0.56	other	s6	annotated	`memory search --format inject --t	prior
3758	0.56	remote-clo	s6	annotated	计费 | ACU 动作计量+idle 停表+配额 | 🟡 | bud	prior
3759	0.56	sandbox-ex	s6	annotated	13. 命令列表非确定性顺序破 prompt cache	prior
3760	0.56	sessions-h	s6	annotated	Sessions Wake as You Type | N/A（本地	prior
3761	0.56	sessions-h	s6	annotated	模型切换不丢上下文 | 踩坑：durable session 不复发	prior
3762	0.56	sessions-h	s6	annotated	可见性 | 工具事件 start/update/end 流式+Age	prior
3763	0.56	shell-tool	s6	annotated	扩展 | **单 manifest 扩展包**（MCP/contex	prior
3764	0.56	shell-tool	s6	annotated	执行 | shell 块 `confirm_ask`（y/A 全/S	prior
3765	0.56	skills-plu	s6	annotated	扩展 | plugin SDK（hooks：config/event	prior
3766	0.56	attachment	s5	annotated	FTS 损伤域隔离（索引坏≠会话死） | 变体（memory FTS	prior
3767	0.56	cli-flags	s5	annotated	扩展 | skills（SKILL.md+从 CC/Codex/Op	prior
3768	0.56	cli-flags	s5	annotated	执行 | **OS 沙箱**：Landlock/Bubblewrap	prior
3769	0.56	git-pr-ci	s5	annotated	扩展 | **extension converters**（吞 Cl	prior
3770	0.56	memory-con	s5	annotated	Live Voice Mode | 边界（语音 UX 非范围） |	prior
3771	0.56	memory-con	s5	annotated	上下文 | compaction 0.85 阈值+保用户消息/工具组	prior
3772	0.56	models-rou	s5	annotated	模型 | ~30 provider（含 claude_code/co	prior
3773	0.56	models-rou	s5	annotated	配置写竞态 | 不复发——fresh read 无缓存快照 |	prior
